filename,transcript,stt_confidence
HOUSE_AK01_GALVIN_MARTY_RUTHERFORD,"Governor's used to deliver for Alaska, but he doesn't anymore that if he talks about isn't a real rating and after he was stripped of his leadership positions in our state suffered for 20 years. I saw her fight for our schools in June, and she's tenacious. She's a meeting Congress. This message.",0.9498498439788818
HOUSE_AK01_HOUSEMAJPAC_A_LONG_TIME,"48 years is a long time and John young, fellow Republican votes for Alaska positions and Scandal. Can't deliver any more responsible for the content of this advertising.",0.926875650882721
HOUSE_AK01_YOUNG&AKRP_ENDORSEMENT,"Congressman, Don Young. Don was recently named the most effective Congressman in America Teamsters, laborers, industry, groups police employees native corporations, have all indoors Danya because Don Young. When is the battles Alaska can't afford to lose.",0.9701645374298096
HOUSE_AL01_CARL_LOST_THEIR_MIND,"Jerry Carl will take on Nancy Pelosi and her band of radicals. He isn't going to let them defend our police. That's crazy. Jerry Carl will stop the swamp from bankrupting Social Security with Reckless, spending along with President Trump, and Coach. Tuberville, Jerry. Carl won't let the extremist destroy our values Jerry Carl for congress. I'm Jerry Carl. So call me Jerry and I approve this.",0.9363077282905579
HOUSE_AL02_HARVEY-HALL_MAKE_THE_RIGHT_INVESTMENTS,"My name is Phyllis. Harvey Hall, and I am running for congress in Alabama's Second District. We need people in office who will make the right investment so that everyone in Southeastern Alabama has access to prosperity. That's why I'm running to lead the people about great District forward. I am Phyllis Harvey Hall and I approve this message.",0.9672167897224426
HOUSE_AL02_MOORE_APPROVES_PRESIDENT_DONALD,"I'm Barrymore and I approve this message very more approve. Supporting President Donald J Trump. Prove standing up to the Democrats and fighting their liberal. Agenda Barrymore. Approves our Second Amendment rights, protect The Unborn and building. The wall. Barrymore is a veteran and approve supporting our military and our veterans. Proof supporting our law enforcement officers. And First Responders, Barrymore, approve, supporting our Alabama values on November 3rd. I need your approval but being more Republican for Congress.",0.9749894142150879
HOUSE_AL04_ADERHOLT_ADOPTION_60,"We tried to have kids for sometime missionary came to a scratch and tell us about a child, be able who won on and my husband and I felt like we were meant to adopt him a deadline for his adoption and it was coming up fast. 2 by the time he would no longer be eligible for adoption. And so we had weeks and not yours to Robert aderholt land about a story in a process that normally takes months. Dad, and days. And then Alex came to America. He said 22 surgeries over the years and today. He's married and expecting a child of his own. Life means being pro-adoption.",0.9651214480400085
HOUSE_AR02_CLF_NEVER_STOP_RAISING_TAXES,"Stop raising taxes doesn't get it Vines of gender, 4 trillion and higher taxes.",0.9286790490150452
HOUSE_AR02_DCCC_MONEY_COMES_FIRST,"With Banker french hill, corporate money comes first. He sold his bank and cash out for four million dollars while employees lost their jobs and coronavirus at the line. While regular Arkansas business with friends Hill corporate tax comes first, not, Arkansas.",0.8838992118835449
HOUSE_AR02_ELLIOTT_THE_MOST_IMPORTANT_ELECTION,I'm George Eliot and I approve this message. They bring chairs. They bring their children to vote in the most important election of our lives. There in line for Better Health Care to beat this pandemic and an America that works for all of us enjoyed Elliot and I've spent my life on my feet. Why do my classroom are spending with my neighbors? But now I need you for lying to moving bunk today.,0.9340378046035767
