ad_id,issue_field,issue_class
CR00000257354440376321,aws_ocr_video_text|google_asr_text,"ISSUE10,ISSUE212|ISSUE10,ISSUE212"
CR00000354386341527553,ad_text,ISSUE10
CR00001130641550737409,aws_ocr_video_text|google_asr_text,"ISSUE212|ISSUE30,ISSUE212"
CR00001435481149538305,google_asr_text,"ISSUE91,ISSUE45"
CR00002421743079653377,ad_title|ad_text,ISSUE22|ISSUE22
CR00002560281544753153,google_asr_text|aws_ocr_video_text,ISSUE10|ISSUE10
CR00002586394945912833,aws_ocr_img_text,ISSUE30
CR00002778534602866689,google_asr_text|advertiser_name|aws_ocr_video_text,"ISSUE215|ISSUE16|ISSUE215,ISSUE10"
CR00003019877405163521,aws_ocr_video_text|google_asr_text,"ISSUE16,ISSUE54|ISSUE16,ISSUE54"
CR00003414602079535105,google_asr_text,ISSUE95
CR00004109493428289537,aws_ocr_video_text|google_asr_text,"ISSUE10,ISSUE212,ISSUE16|ISSUE10,ISSUE212"
CR00004163369498050561,aws_ocr_video_text|google_asr_text,"ISSUE40,ISSUE212|ISSUE212"
CR00004507516637544449,ad_text,"ISSUE16,ISSUE83"
CR00004784662287220737,ad_text|aws_ocr_img_text,ISSUE10|ISSUE10
CR00005279373800243201,google_asr_text,"ISSUE16,ISSUE54"
CR00005730998201352193,advertiser_name|ad_text,ISSUE16|ISSUE95
CR00005954817537081345,ad_text,ISSUE40
CR00006541063393116161,aws_ocr_video_text|google_asr_text,"ISSUE30,ISSUE200|ISSUE30,ISSUE200"
CR00006595214340784129,ad_text,ISSUE56
CR00006694170387283969,google_asr_text|aws_ocr_video_text,"ISSUE40|ISSUE40,ISSUE212"
CR00007347555172089857,google_asr_text|aws_ocr_video_text,"ISSUE30,ISSUE200|ISSUE30"
CR00007457506334867457,ad_text,ISSUE30
CR00007575154079039489,google_asr_text|aws_ocr_video_text,"ISSUE30,ISSUE95|ISSUE30,ISSUE16,ISSUE32"
CR00007774165683666945,ad_text|ad_title,ISSUE30|ISSUE30
CR00007856629055750145,google_asr_text,"ISSUE209,ISSUE53"
CR00007876420265050113,google_asr_text|aws_ocr_video_text,"ISSUE30,ISSUE58|ISSUE30"
CR00007936893404577793,advertiser_name|aws_ocr_img_text|ad_text,ISSUE32|ISSUE10|ISSUE10
CR00008976756526546945,google_asr_text,"ISSUE54,ISSUE62"
CR00009083684032348161,google_asr_text,ISSUE10
CR00010028714276421633,aws_ocr_img_text,"ISSUE60,ISSUE22"
CR00010875406949285889,ad_text|ad_title,"ISSUE16,ISSUE95|ISSUE215"
CR00011034217660022785,ad_title,ISSUE22
CR00011050435456532481,ad_text,ISSUE10
CR00011281332898365441,google_asr_text,ISSUE16
CR00011306896543711233,advertiser_name|aws_ocr_img_text,ISSUE62|ISSUE32
CR00011853078944808961,ad_title,ISSUE22
CR00012403934270324737,advertiser_name,ISSUE16
CR00013127687799308289,advertiser_name|ad_text,ISSUE45|ISSUE212
CR00013537530758561793,advertiser_name,ISSUE95
CR00013541928805072897,ad_title,ISSUE22
CR00014005098078273537,google_asr_text,"ISSUE16,ISSUE54"
CR00014451499799150593,aws_ocr_video_text|google_asr_text,ISSUE30|ISSUE30
CR00014509499037515777,google_asr_text,ISSUE215
CR00014988886107226113,google_asr_text|aws_ocr_video_text,"ISSUE30,ISSUE62|ISSUE30,ISSUE62"
CR00015111206775816193,google_asr_text|aws_ocr_video_text,"ISSUE40,ISSUE45|ISSUE40,ISSUE45"
CR00015169480892088321,google_asr_text|aws_ocr_video_text,"ISSUE40,ISSUE212,ISSUE95|ISSUE40,ISSUE212,ISSUE95"
CR00015599389938548737,google_asr_text|aws_ocr_video_text,"ISSUE209,ISSUE83,ISSUE53|ISSUE209,ISSUE53"
CR00016447663159377921,google_asr_text,ISSUE30
CR00017512334012448769,aws_ocr_img_text|ad_text,"ISSUE91|ISSUE212,ISSUE91"
CR00018149157403361281,aws_ocr_video_text|google_asr_text,"ISSUE30|ISSUE30,ISSUE53,ISSUE58"
CR00018492754787041281,advertiser_name|google_asr_text|aws_ocr_video_text,"ISSUE62,ISSUE60|ISSUE30|ISSUE30"
CR00018830785893105665,ad_title,ISSUE215
CR00019136243967197185,ad_title,"ISSUE215,ISSUE60"
CR00019356421170659329,aws_ocr_img_text,ISSUE212
CR00020339934321704961,google_asr_text,"ISSUE18,ISSUE32"
CR00020827567728623617,aws_ocr_video_text|google_asr_text,"ISSUE18,ISSUE83|ISSUE18,ISSUE83"
CR00020919170791112705,ad_text,ISSUE90
CR00021039773472784385,aws_ocr_video_text|google_asr_text,"ISSUE10|ISSUE10,ISSUE45"
CR00021170203039629313,advertiser_name,ISSUE16
CR00021294310414614529,google_asr_text,ISSUE65
CR00022733846013280257,google_asr_text,ISSUE16
CR00023036486588825601,advertiser_name,ISSUE18
