cmag_vidfile,google_asr_text,ISSUE10,ISSUE11,ISSUE12,ISSUE13,ISSUE14,ISSUE15,ISSUE16,ISSUE17,ISSUE18,ISSUE19,ISSUE20,ISSUE21,ISSUE22,ISSUE23,ISSUE24,ISSUE30,ISSUE31,ISSUE32,ISSUE37,ISSUE39,ISSUE40,ISSUE41,ISSUE43,ISSUE45,ISSUE50,ISSUE52,ISSUE53,ISSUE54,ISSUE55,ISSUE56,ISSUE57,ISSUE58,ISSUE59,ISSUE60,ISSUE61,ISSUE62,ISSUE65,ISSUE67,ISSUE68,ISSUE69,ISSUE70,ISSUE80,ISSUE82,ISSUE83,ISSUE90,ISSUE91,ISSUE92,ISSUE93,ISSUE95,ISSUE96,ISSUE98,ISSUE101,ISSUE102,ISSUE103,ISSUE104,ISSUE105,ISSUE106,ISSUE111,ISSUE118,ISSUE200,ISSUE208,ISSUE210,ISSUE212,ISSUE218,ISSUE221
GOV_AL_BLANCHARD_CHURCHES,"Shut the churches down accepted Horsham Clinic, soap is aiding and abetting murder when she allowed the abortion Mill. Stay open. Lindy Blanchard is a Defender life. She adopted children. She stands for life. She's the most pro-life candidate for governor I've ever known. That's why I'm supporting. Lindy, Blanchard governor of the state of Alabama. The governor we need",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOV_AL_BLANCHARD_FOURTY_THREE_YEARS_IN_POLITICS,"After 43 years in politics, she's a nice lady. But come on, he's no conservative Ivy, shut down, Alabama, and it stretches. During covid-19 us for covid-19 in vaccinations for Alabama, schools are better. Doesn't have to fake it conservative to the core trusted by President Trump. Lindy Blanchard,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
GOV_AL_BLANCHARD_MAKE_SENSE_TO_YOU,"Is Kay Ivey. Make sense to you, IV raised our gas tax, it's crushing up to the pump and Ivy said on the pandemic, Quotes, not the regular. Neon vaccinated Setter and Ivy, praise from Biden and fauci. HIV. Be bothered to appear with President Trump at Alabama, rally attack, psyching fauci, loving never Trump liberal.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
GOV_AL_BLANCHARD_NATIONAL_SECURITY,"President Trump trusted Lindy Blanchard with National Security issues because Lindsay is strong, conservative and tough. And she backs it up, Lindsey believes the election was stolen from Trump. Kib Titans, victory was legitimate. Lindsey believes Alabama, should not do business with a Chinese kiv expanded trade with communist China, like Trump. Lindy will appoint conservatives as judges kiv appointed, liberal Democrat. Trump, tested conservative to the core a clear choice for governor.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOV_AL_BLANCHARD_ONE_FINAL_ASK,"Blanchard as you head to the polls. I would like to make one final ask for your vote. I'm an outsider and stand up to Joe, Biden and federal overreach, and I'm asking for your vote.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOV_AL_BLANCHARD_OUTRAGE,It's an outrage that will require proof of citizenship to receive taxpayer benefits is a nation of laws.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOV_AL_BLANCHARD_POLITICAL_INSIDER,"43 years has been a political Insider collecting a paycheck, from the taxpayers. No surprise corrupt special interests are pouring Millions into her campaign. They own Ivy career politician. Tim, James is no better. He's funded by the Insiders to and won't take a shower e. They can control career politicians. They can't control Daddy.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOV_AL_BLANCHARD_SERVE_60,"Libby Blanchard started out in a trailer in Wetumpka. State business, but tragedy struck Lindy and June son. Christopher should come to an opioid addiction morning, the Heartbreak of losing a child. Linda turn to the Lord, and it became my life's mission. Now Wendy is stepping forward to fight for Alabama. Driven by faith trusted by President Trump conservative Outsider Lindy Blanchard for governor.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
GOV_AL_BLANCHARD_STEPPING_FORWARD,"Wendy Blanchard started out in a trailer in Wetumpka. Then succeeded in business, President. Trump named her, our country's ambassador to Slovenia. Now, she's stepping forward to fight for this experience to improve our schools and restore election security by President Trump conservative Outsider only Blanchard for governor.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOV_AL_BLANCHARD_TOUGH_15,"Lindy Blanchard Alabama, tough Libby Blanchard will create jobs, restore election, security and block vaccine and mask mandates driven by faith conservative Outsider Lindy Blanchard for governor.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
GOV_AL_BLANCHARD_TRUMP_SAYS,"President. Our children is allowing Alabama, tax dollars to be spent on schools, designed specifically for you but it's like Trump. Lindy Blanchard says no transgender education of minors. She'll end funding for transgender schools and put the money. The Flash run.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOV_AL_BLANCHARD_WELCOME_SIGN,"Construction of taxpayer-funded benefits. Do illegals, Americans, not illegal. Even if she has to take them herself. Well, somebody's got to take him to the airport.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOV_AL_BLANCHARD_WHAT_I_WILL_DO,"This is what I will do. Is Governor get rid of mask and vaccine mandates, improve our schools in the country for Education? That's completely unacceptable, fight for election security. The election was stolen from Donald Trump. And now, we're paying the price trusted by President Trump conservative Outsider Lindsey Blanchard for governor.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
GOV_AL_BLANCHARD_WHAT_I_WILL_DO_NO_PENCE,"Is dead last in the country for Education, that's completely unacceptable, fight for election security. The election was stolen from Donald Trump. And now, we're paying the price trusted by President Trump conservative Outsider Lindy Blanchard for governor.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
GOV_AL_BURDETTE_DIFFERENT,What makes a Books-A-Million in Alabama?,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOV_AL_BURDETTE_GREW_UP_15,"Lou Burdette Republican for governor. Grew up working in his family's grocery store proven business, executive inspirational leader of a Faith Center nonprofit, superdeck, new energy,",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOV_AL_BURDETTE_WE_LOVE_FOOTBALL,"And we love our football. Don't we station? 47 43rd? Just like this old football here. It's time to be out with old, and I'm Lou Burdette. And I'm asking for your vote for governor new Energy, new leadership for Alabama.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
GOV_AL_BURDETTE_WE_LOVE_FOOTBALL_15,"We love our football, don't we? And I'm asking for your vote for governor.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOV_AL_CSAEF_FOUGHT_BACK,"And Trump fought back in communist China's trade war on the US rate IV as one of the US Governors quote to China under IV. China has grown to lead trade with Alabama. Well Ivy takes campaign money from donors, linked to Chinese economic interest k, i d. Good for communist China bad for Alabama.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOV_AL_CSAEF_WHAT'S_WRONG,"What's wrong with Kay Ivey talk and actually doing anything about illegals coming here, right? Not much to say why can't she stay station to another kid? Her act is getting old.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOV_AL_FLOWERS_TWO_HUNDRED_YEARS,"Hello my dear Alabama for over two hundred years. We have suffered from a malady called inequality, this infection has elected to our school system. I justice system out Healthcare and has sustained and icon me. It is time to hear my steak is going to take all of us to do. So, both of me. Yolanda, flowers for governor of Alabama, on May 24th, if you're longing for change, killing any quality for songs, let us be constructed Alabama together. Thank you.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOV_AL_IVEY_CONTROL_EVERYTHING,"Alabama, do not use tax dollars to kill our babies. Alabama's Trump tough conservative Governor fighting Joe Biden every step of the way. Again, but Washington. Better, not hold your breath.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOV_AL_IVEY_FAKE_NEWS,"The fake news, big Tech in Blue State. Liberals stole the election for President Trump would hear in Alabama with making sure that never happens. We have not and will not an absentee ballots, we band corrupt curbside, voting results will always be audited. I'm kivo left probably offended so bad as long as we got to protect you,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
