alt,transcript,link,alpha,wmp_ratio
GOV_MO_UMOPAC_FOLLOW_THE_MONEY,"Who's the real Nicole Galloway? Follow the money Galloway's family has gotten ripped from lobbying, Jefferson City for millions of special interest tax break. Galloway has taken thousands of dollars of campaign cash from of campaign, cash from an organization, whose leadership, embezzlement, and money-laundering Nicole Galloway.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_MO_UMOPAC_FOLLOW_THE_MONEY.wmv,0.6790922,0.212829736211031
GOV_MO_UMOPAC_SCANDAL_AND_CONTROVERSY,"Nicole Galloway is embroiled in controversy and money, laundering Galloway a disturbing pattern of corrupt politician.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_MO_UMOPAC_SCANDAL_AND_CONTROVERSY.wmv,0.6790922,0.212829736211031
GOV_MT_GJMT_VITAL,"Affordable Health Care is vital. We could lose our healthcare because cutting access to Doctors close to home and cutting Insurance motorcycle, premiums Skyrocket, the fax gianforte takes thousands in campaign, cash from the healthcare industry himself, never for us.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_MT_GJMT_VITAL.wmv,0.6790922,0.212829736211031
GOV_WV_SMITH_FUNDED_BY_THE_PEOPLE,"We're the only campaign to reject corporate tax dollars pharmaceutical company money. We are funded of by and for the people of West Virginia, Virginia, including yours, at least, twice with the only campaign, booting people like you to run for office. There's 90 three of us cuz one Governor isn't enough. Paid for by.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_WV_SMITH_FUNDED_BY_THE_PEOPLE.wmv,0.6790922,0.212829736211031
HOUSE_AK01_CLF_FUNDED_BY_EXTREMISTS,"Liberal Democrat, Elise K bankroll by out-of-state, extremists their supporters, 1/2 impact the green New Deal which could deny Alaskan billions in future revenue and countless jobs and tax plan, which could raise taxes by 4 trillion dollars and they want to believe in our Second Amendment rights with friends like these Alaskan, simply can't trust Elise k.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_AK01_CLF_FUNDED_BY_EXTREMISTS.wmv,0.6790922,0.212829736211031
HOUSE_AK01_CLF_LIBERAL_AGENDA,"Their liberal agenda is clear A Single Payer Health Care tax plan, would cost for a trillion dollars.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_AK01_CLF_LIBERAL_AGENDA.wmv,0.6790922,0.212829736211031
HOUSE_AK01_GALVIN_TRIPS,"I'm Elise Calvin and I approve this message. It's nice to be jonya. He's taking over $100,000 in trips, paid for by special interests to places like Spain and Germany. Africa. So many trips. He started hiding it until he was caught by the FBI. In a bribery investigation. He was stripped of his leadership positions. Done. Young, can't deliver for Alaska, only for himself. It's just time.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_AK01_GALVIN_TRIPS.wmv,0.6790922,0.212829736211031
HOUSE_AL01_HIGHTOWER_CAUGHT_RED_HANDED,"Jerry Carl's been caught red-handed lying about Bill Hightower support Donald Trump. And Jerry's been caught red-handed again, given a campaign contributor 6 million dollars in taxpayer money or money. President Trump needs an honest. Pro-life conservative to build the wall. President Trump needs Bill Hightower.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_AL01_HIGHTOWER_CAUGHT_RED_HANDED.wmv,0.6790922,0.212829736211031
HOUSE_AL02_CFGACTION_HAWAII,"Why is a long way from Alabama? In campaign, cash to a liberal Democrat running for congress there. True facts and help your speaker. $9,000 to candidates Hillary Clinton.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_AL02_CFGACTION_HAWAII.wmv,0.6790922,0.212829736211031
HOUSE_AR02_DCCC_DO_THE_MATH,"When it comes to friends, hell we've got to do the math. This campaigns have taken more than 2.9 billion in corporate, special interest money and one of the benefits to the richest Americans and his donors on middle-class, Arkansas, Social Security, and Medicare with french hill and Dad's up for them. Not for us. DCCC is responsible for the content of this advertising.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_AR02_DCCC_DO_THE_MATH.wmv,0.6790922,0.212829736211031
HOUSE_AR02_DCCC_IT'S_BEEN_A_TOUGH_YEAR,I'm French Hill. It's been a tough year for him. Tough year. Big corporations to keep Coronavirus. DCCC.,http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_AR02_DCCC_IT'S_BEEN_A_TOUGH_YEAR.wmv,0.6790922,0.212829736211031
HOUSE_AR02_HOUSEMAJPAC_DEVESTATING_CRISIS,"A devastating crisis, and families, corporate bailouts of corporate CEOs, to Richmond Hills, the worst of Washington House. Majority Pac is responsible for the content of this advertising.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_AR02_HOUSEMAJPAC_DEVESTATING_CRISIS.wmv,0.6790922,0.212829736211031
HOUSE_AR02_HOUSEMAJPAC_TAKEN_US_FOR_A_RIDE,"Multi-millionaire Congressman french hill taking us for quite a ride hill. Took nearly three million in campaign, cash from corporate, special interest and voted to hide details of a 500 billion dollar. Bailout protecting a special interest donors while Arkansas. Small businesses, struggle and workers. Lost their jobs. Congressman Hill, looks out for himself and his corporate interest friend. House. Majority Pac is responsible for the content of this advertising.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_AR02_HOUSEMAJPAC_TAKEN_US_FOR_A_RIDE.wmv,0.6790922,0.212829736211031
HOUSE_AR02_HOUSEMAJPAC_UPHILL_FIGHT,"It's been an uphill fight for these guys. Because in Washington Congressman Hill looks out for these guys Wall Street, Banks, insurance companies, even drug companies. Corporate special interests have given Hill, nearly three million dollars, and he votes their way. Giving billions in tax breaks to the big corporations while raising taxes on us and threatening Social Security, Congressman Hills for the special interest. Not us House. Majority. Pac is responsible for the content of the sea.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_AR02_HOUSEMAJPAC_UPHILL_FIGHT.wmv,0.6790922,0.212829736211031
HOUSE_AR03_WILLIAMS_WE_KNOW_CHICKENS,"In Arkansas in Congress because he knows you'll ask why he tried to slash Social Security and Medicare. He's too chicken to stand up to his corporate donors. So, my patients get higher prescription prices every year your wages for all Arkansas. I'm Celeste Williams, and I approve this message.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_AR03_WILLIAMS_WE_KNOW_CHICKENS.wmv,0.6790922,0.212829736211031
HOUSE_AZ01_NRCC_BOUGHT_AND_PAID_FOR,"I paid for by the liberal Elite. That's why he opposed the family over $1,800 from millionaires in California. The wrong priorities.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_AZ01_NRCC_BOUGHT_AND_PAID_FOR.wmv,0.6790922,0.212829736211031
HOUSE_AZ06_DCCC_ETHICS_VIOLATIONS,"Congressman David Schweikert has admitted to 11 ethics violations. Punished for breaking the rules on handling money for his campaign. And is Capitol Hill office at 6. Buy Elations a $50,000 fine for misusing taxpayer in campaign funds, first class, flights and dinners. Corrupt sleazy disgrace that",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_AZ06_DCCC_ETHICS_VIOLATIONS.wmv,0.6790922,0.212829736211031
HOUSE_AZ06_HOUSEMAJPAC_ABUSING_TAXPAYER_MONEY,Pre-existing condition. Dave Schleicher?,http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_AZ06_HOUSEMAJPAC_ABUSING_TAXPAYER_MONEY.wmv,0.6790922,0.212829736211031
