alt,transcript,link,alpha,wmp_ratio
GOV_DE_CTI_UP_TO_US_60,"The Delaware way works for some but not for others. Everyday in Delaware, a small group of powerful lawyers, politicians and corporate Executives, enriched themselves, while normal delawareans fall further and further behind the coronavirus. Pandemic is wreaking havoc on our most vulnerable communities and our police fail to live up to their motto, to protect and serve. Where is sparking haunt? We have a choice to make. Should we support a governor who has failed to protect us? Are we going to stick with the same old corrupt Delaware way that lets Delaware Elite take advantage of us for their own game or are we going to shine a light on the corruption and greed and choose a new way forward for Delaware. It's time to hold our leaders accountable paid for by citizens for transparency and inclusion.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_DE_CTI_UP_TO_US_60.wmv,0.8593217,0.212829736211031
GOV_DE_CTI_WHITMER_PLOT,"In 2019, Governor Carney in the all white Board of Pardons. Let violent white supremacist. Barrett crossbow, free a year later cost has now been charged with plotting to kidnap the governor of Michigan. Something's rotten in Delaware. Criminal Injustice system.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_DE_CTI_WHITMER_PLOT.wmv,0.8593217,0.212829736211031
GOV_IL_PRITZKER_CALLING_OUT,"It's paid for by the same Republican group who Donald Trump, but why are they attacking Governor pritzker? Because he's calling out the president's failed leadership, don't believe their lies state legislators will not be getting its governor pritzker who work there passed a bipartisan budget, finding common ground on issues like investing in infrastructure and he's working night and day to help Illinois, confront. The pandemic, Governor pritzker has risen to this moment.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_IL_PRITZKER_CALLING_OUT.wmv,0.8593217,0.212829736211031
GOV_IL_PRITZKER_FALSE_ATTACK,"Is a false attack. This is a governor getting things done. The truth is state legislators will not be getting raises. Its governor pritzker who work to pass a bipartisan budget, making education a priority expanding access to health care, and finding common ground with Republicans on issues, like investing in our state's infrastructure, and he's working night and day to help Illinois, confront. The pandemic, Governor pritzker has risen to this moment.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_IL_PRITZKER_FALSE_ATTACK.wmv,0.8593217,0.212829736211031
GOV_IN_HOLCOMB_READY,"Directions to public and legislators made. Sure Indiana was ready to handle a job creation at Dallas budgets, attitude billion dollar Surplus to help get us through that strength. Means Indiana's ready to reach even greater height. We're attracting more jobs in Hoosiers. Will keep spitting up and improving their lives with Eric Holcomb is Governor. We Are One Indiana for all",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_IN_HOLCOMB_READY.wmv,0.8593217,0.212829736211031
GOV_IN_HOLCOMB_RESILIENT,"We were reminded what we always knew about, Indiana. That's worth strong, Brazilian group of losers. And there's no challenge. We can overcome, we come together. So it's been a real proud moment to see. People just come out of the woodwork and pitch in to help. Nothing is stronger than we have for our neighbors and for our community. And that's powerful. We Are One Indiana and we are one Indiana for all, and it just makes you proud to be a Hoosier.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_IN_HOLCOMB_RESILIENT.wmv,0.8593217,0.212829736211031
GOV_IN_HOLCOMB_RESILIENT_60,"We were free. We come together every single day. From day one. It's covid-19 started to really impact our families in our communities. What was Stranger in times of trouble there reminded just how important your fave your family and your friends are quite frankly. What we've learned is this common purpose this common experience. What brings us together is so much stronger than anything including offend them if they could ever tear us apart.Nothing is stronger than that Bond. We have for our neighbors and for our community, and that's powerful. We Are One Indiana, and we are one Indiana for all and it just make you proud to be a Hoosier.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_IN_HOLCOMB_RESILIENT_60.wmv,0.8593217,0.212829736211031
GOV_MO_ASTRONGERMO_RED_ZONE,Missouri. In a Red Zone due to an increase in cases of covid-19 is ravaging our state Health Care Program. Time is running out that we can afford another failure from my car.,http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_MO_ASTRONGERMO_RED_ZONE.wmv,0.8593217,0.212829736211031
GOV_MO_ASTRONGERMO_SHOW_ME_THE_MONEY_2,"Has Mike Parson climbed the ranks in the remodeling, a Furniture alone? But not us to help our hardest-hit communities.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_MO_ASTRONGERMO_SHOW_ME_THE_MONEY_2.wmv,0.8593217,0.212829736211031
GOV_MO_ASTRONGERMO_THE_WRONG_WAY,"Covid-19 cases in our state, going the wrong way, taking us. The wrong way on Healthcare. His hand-picked ally is trying to cut protection for pre-existing conditions, which would strip Healthcare from 2 million, Missouri, opposing a healthcare program for healthcare the most the wrong way.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_MO_ASTRONGERMO_THE_WRONG_WAY.wmv,0.8593217,0.212829736211031
"GOV_MO_GALLOWAY_100,000_KIDS","This is what 100,000 missouri-kansas looks like. And this is the governor and kick them off their health coverage. Now, they need it more than ever. This is Nicole Galloway as Governor. She will restore coverage to every child who had it taken away, the work to lower the cost of prescription drugs and 2% coverage for people with pre-existing conditions because if this pandemic has taught us anything.","http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_MO_GALLOWAY_100,000_KIDS.wmv",0.8593217,0.212829736211031
GOV_MO_GALLOWAY_COVID_RED_ZONE,"But the truth, is that a healthcare crisis in Missouri long before the virus hit, first Mike Parson, put coverage from 100,000 kids haircuts, in Focus, squarely on bringing down cost for families.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_MO_GALLOWAY_COVID_RED_ZONE.wmv,0.8593217,0.212829736211031
GOV_MO_GALLOWAY_NEAREST_HOSPITAL,Nearest hospital is an hour away the Warriors. Constant. What if one of the kids needs x-rays? What is Mom or Dad gets covid? I hear these concerns all the time. I've seen Hospital a hospital close all because Mike Parson wouldn't accept funding to keep them open. Our rural communities deserve better as Governor. I'll make sure every county has its own health care clinic on my watch. Your ZIP code won't determine your access to healthcare.,http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_MO_GALLOWAY_NEAREST_HOSPITAL.wmv,0.8593217,0.212829736211031
GOV_MO_GALLOWAY_RED_ZONE,"Missouri is in the red zone covid, cases up hospitalizations up. Everyone worried about their health care yet even now suppose his Medicaid expansion. Even now he takes Drug Company money and lets them increase prices. We need change and covers, our kids as governor of my highest priority will be lowering your health care costs.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_MO_GALLOWAY_RED_ZONE.wmv,0.8593217,0.212829736211031
GOV_MO_GALLOWAY_TERRIBLE_DECISION_15,"Carson made a terrible decision, cut Health Care from 100,000 Missouri children as Governor. That's the very first thing I'll do.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_MO_GALLOWAY_TERRIBLE_DECISION_15.wmv,0.8593217,0.212829736211031
GOV_MO_GALLOWAY_URGENCY,"A sense of urgency. It's what we need from our leaders, but we're never going to get it from him. I'm state auditor Nicole Galloway. My job is to crack down on waste and I found lots of it. I'm running for governor because waste isn't our only problem. Healthcare costs are sky-high. He responds by cutting coverage for hundreds of thousands were in a pandemic. The problems. We Face are big. We can't have a governor who does so little, I'll do things differently with a sense of urgency.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_MO_GALLOWAY_URGENCY.wmv,0.8593217,0.212829736211031
GOV_MO_NEELY_NO_MORE_SHUTDOWNS,"See these two people here. What is the current governor? And the other wants to be Governor, but they both agree on shutdowns in mail-in. Voting Governor Parson in the Democrats did nothing while the solution is. Dr. Jim Neely who's going to physician for 35 years and a state rep for 8 years. It's about solving problems and not making new ones. No more shut down. No mask mandate for governor of, Missouri. On August, 4th.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_MO_NEELY_NO_MORE_SHUTDOWNS.wmv,0.8593217,0.212829736211031
GOV_MO_PARSON_CHRISTY_SHAWAN,"Governor Parson listens, he cares a decade and some Parson was like, our quarterback. He wanted to know what we were hearing what we were seeing and what we needed his leadership, made a difference for hospitals, every",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_MO_PARSON_CHRISTY_SHAWAN.wmv,0.8593217,0.212829736211031
GOV_MO_PARSON_UNPRECEDENTED,"The covid crisis is unprecedented. But together, we are meeting the challenges as Governor. Your safety is my top priority. We're working with experts to protect our seniors and implementing common-sense measures to protect all of us. Missourians always overcome together.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_MO_PARSON_UNPRECEDENTED.wmv,0.8593217,0.212829736211031
GOV_MO_UMOPAC_BACK_TO_WORK_15,"Prior to the pandemic Governor, Parson signed the largest tax cut in Missouri History created for a job and drove unemployment to Historic lows. Governor. Parson is getting Missouri.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_MO_UMOPAC_BACK_TO_WORK_15.wmv,0.8593217,0.212829736211031
GOV_MO_UMOPAC_JERRY_POGUE,"White building supply 140 people, the coronavirus has been tough, but I trust Governor Parson to rebuild our economy before the pandemic. Hit my parts and cut her taxes and created 40,000 job with historically, low unemployment is fighting hard to say, furry open our economy and get Missouri back to work.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_MO_UMOPAC_JERRY_POGUE.wmv,0.8593217,0.212829736211031
GOV_MT_COONEY_NOW_MORE_THAN_EVER,"Now more than ever. We need to trust it experience and Montana values of democrat for governor or access for 90,000 Montana, Hospitals. And Clinics has Jon Tester and Steve Bullock strongly endorse.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_MT_COONEY_NOW_MORE_THAN_EVER.wmv,0.8593217,0.212829736211031
GOV_MT_GIANFORTE_DAVE_BERTELSEN,"The pandemic has been tough on our economy. Now more than ever. We need a strong governor with business experience and a real plan to get our economy moving again. That's why I'm supporting Greg gianforte brings a successful businessman who created over 500, Montana jobs, strength and small businesses and invest in trades and Workforce training. Greg gianforte is ready to leave. Montana's come back.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_MT_GIANFORTE_DAVE_BERTELSEN.wmv,0.8593217,0.212829736211031
GOV_MT_GIANFORTE_TOLL,"The coronavirus is taking a toll on Montana's economy, will get through this together, but it'll take strong leadership and I spent 30 years in business balancing budgets and creating jobs as your governor on strengthening small businesses, rebuilding our economy and protecting our way of life. I'm Greg gianforte and I'm ready to leave. Montana's come back. It's a proven job creator.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_MT_GIANFORTE_TOLL.wmv,0.8593217,0.212829736211031
GOV_MT_MTFPE_HEROES,"Montana their Heroes health care workers, First Responders, Educators, when times are tough, they step up that Greg gianforte doesn't understand Montana. Never before he voted to additional resources, that help make them safe. And in the face of a healthcare crisis, gianforte voted against allowing our First Responders, to answer the call when we need it, Greg gianforte and tell him. That's not how we do things here in Montana.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_MT_MTFPE_HEROES.wmv,0.8593217,0.212829736211031
GOV_MT_WILLIAMS_STANDSTILL_15,This virus shook our economy and brought cities in Montana.,http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_MT_WILLIAMS_STANDSTILL_15.wmv,0.8593217,0.212829736211031
GOV_MT_WILLIAMS_STANDSTILL_15_2,"This virus sugar economy in Broad City to a standstill, the other will get it done.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_MT_WILLIAMS_STANDSTILL_15_2.wmv,0.8593217,0.212829736211031
GOV_MT_WILLIAMS_WORSE,"Aspirus sugar economy and made it worse communities, after disasters, to get people working again and help businesses rebuild. I know how to do it and together, we'll get it done.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_MT_WILLIAMS_WORSE.wmv,0.8593217,0.212829736211031
GOV_NC_COOPER_A_PRAYER,"What are the hardest things about protecting? Your family insurance, as Governor? I won't stop because no family should live in fear.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_NC_COOPER_A_PRAYER.wmv,0.8593217,0.212829736211031
GOV_NC_COOPER_COMMITMENT_60,"Governor Cooper, press conference of emergency. They need politics, These are challenging times. You deserve honest answers and decisive action for everyone or access to healthcare resources, to prepare our children for this new world.North Carolina.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_NC_COOPER_COMMITMENT_60.wmv,0.8593217,0.212829736211031
GOV_NC_COOPER_CORONAVIRUS,"Dan Forest on the coronavirus, North Carolina. We know he gets this virus who gets the bat symptoms. Dan forest and that's just not true.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_NC_COOPER_CORONAVIRUS.wmv,0.8593217,0.212829736211031
GOV_NC_COOPER_DR_ROBERT_HARRIS,"As a North Carolina physician for 35 years, the forest. I know you're running for governor. For the sake of everyone who had contact with please stop. It's dangerous for anyone. Please don't go. No political campaign is worth risking, North Carolina lines.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_NC_COOPER_DR_ROBERT_HARRIS.wmv,0.8593217,0.212829736211031
GOV_NC_COOPER_ENDANGERING,"Veterans. Frontline workers single moms, too many are struggling to afford health insurance in the middle of the pandemic. Dan. Forrest wants to be Governor, but he's blocking Medicaid expansion for half a million North Carolinians, and he can't even be bothered to wear a mask endangering thousands instead of a governor who couldn't care less. We need a governor. Who would care for more? Fortunately. We already have.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_NC_COOPER_ENDANGERING.wmv,0.8593217,0.212829736211031
GOV_NC_COOPER_HALF_A_MILLION,"Half a million North Carolina, ins. That's how many of our neighbors are being denied health, insurance veterans, essential workers people laid off during the pandemic. As Governor. I'm determined to expand Medicaid. Like 39 other states have already done including and Forest is okay. Leaving half a million people behind. I'm not we have to do better in, North Carolina.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_NC_COOPER_HALF_A_MILLION.wmv,0.8593217,0.212829736211031
GOV_NC_COOPER_HEAR_THIS,I want every North Carolina or maybe even someone in your own family. Nothing should ever change that.,http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_NC_COOPER_HEAR_THIS.wmv,0.8593217,0.212829736211031
GOV_NC_COOPER_INDOOR_EVENTS,"Dan Forrest is running for governor. And since he's held at least 16 indoor events during the pandemic hundreds of people with no mask, no service because what does Dan Forest think of Matt just running for governor, governor?",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_NC_COOPER_INDOOR_EVENTS.wmv,0.8593217,0.212829736211031
GOV_NC_COOPER_REBUILD,"North Carolina's economy. After the pandemic, we've already started a small business for healthcare job training and funding to keep real hospitals open. Next. We need tax incentives for small businesses on, North Carolina will come out stronger than before.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_NC_COOPER_REBUILD.wmv,0.8593217,0.212829736211031
GOV_NC_COOPER_START_OVER,Nothing's been easy about this year. We played hard decisions. We can do more than that. We can use this moment to start over to expand health care. We can make something good. Come out of all. We've been through and we will,http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_NC_COOPER_START_OVER.wmv,0.8593217,0.212829736211031
GOV_NC_COOPER_STEPHANIE_WHITLEY,What would you want to say to the people of North Carolina about coronavirus along with the mask last few minutes? I can't tell you how much I appreciate you doing God's work. No doubt about it.,http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_NC_COOPER_STEPHANIE_WHITLEY.wmv,0.8593217,0.212829736211031
GOV_NC_COOPER_STEPHANIE_WILLIS,What would you want to say about coronavirus face shield with the mask? Last? I can't tell you how much. I appreciate your work on the front lines. No doubt about it.,http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_NC_COOPER_STEPHANIE_WILLIS.wmv,0.8593217,0.212829736211031
GOV_NC_COOPER_WORSE,"What's worse than Dan Forest building? Indoor fundraisers without masks? How about denying? You health care? If you got sick at one of them and Forest is against expanding Medicaid for half a million North Carolinians. Even people laid off during the pandemic. 39 states of expanded medicaid including Indiana, when Mike Pence was governor with in Forest snow.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_NC_COOPER_WORSE.wmv,0.8593217,0.212829736211031
GOV_NC_FOREST_TIME_FOR_CHANGE,"It's time for change a bold, new choice for governor. Dan Forest has a business leader. Architect, and former partner in the state's largest architectural firm. Dan Forrest will rebuild our economy. Create opportunity for those who needed most and protect our most vulnerable. Dan Forest will provide leadership and hope for our state. North Carolina needs Dan forest for governor.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_NC_FOREST_TIME_FOR_CHANGE.wmv,0.8593217,0.212829736211031
GOV_NC_NCAE_HOW_ESSENTIAL_TEACHERS_REALLY_ARE,"By now our teachers really are cut funding for classrooms to get tax breaks to corporations and stop them. Now. He's protecting our schools from Anubis, read Governor Cooper and tell him to keep doing. What's right for North Carolina's kids.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_NC_NCAE_HOW_ESSENTIAL_TEACHERS_REALLY_ARE.wmv,0.8593217,0.212829736211031
GOV_NC_TAPI_UNDER_CONTROL,"Covid-19 Roy, Cooper says, he's got it under control, making decisions by himself taking no advice for leaders are seniors are dying in a nursing home voice response closed, businesses churches and schools. Dan Forrest Will Keep Us Safe reopen, North Carolina, use science in good, judgment versus politics for Governor Dan Forest.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_NC_TAPI_UNDER_CONTROL.wmv,0.8593217,0.212829736211031
