alt,transcript,link,alpha,wmp_ratio
GOV_AL_WILSON_BUSINESS_MAN_AND_HUMBLE_SERVANT,"You and me, we can improve the future of Mississippi.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_AL_WILSON_BUSINESS_MAN_AND_HUMBLE_SERVANT.wmv,0.7920024,0.212829736211031
GOV_KY_BEVIN_BACKWARD_BESHEAR,"Forward or backward as he won't stop Sanctuary cities in economy. He supports 57,000, new jobs. Probably pro-life. Matt wants to ban Sanctuary cities for illegal immigrants. Choose forward choose, Matt, Bevin.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_KY_BEVIN_BACKWARD_BESHEAR.wmv,0.7920024,0.212829736211031
GOV_KY_KYFBF_READY_FOR_A_CHANGE,"From City's too, small towns, Kentucky's, ready for a change is the change. We need now and I'm taking on protecting healthcare for four hundred thousand kentuckians, Adam edelen standing with teachers. Raising teacher pay fixing the pension crisis once and for all Adam thielen renewable energy jobs for a strong and Tuckey, Adam edelen, Democrat. Adam edelen for governor.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_KY_KYFBF_READY_FOR_A_CHANGE.wmv,0.7920024,0.212829736211031
GOV_LA_EDWARDS_HIGHEST_CITY,"Where does releasing the state's unemployment report as the results Louisiana has made huge progress the lowest unemployment rate in 11 years, history more than 2.5 billion dollars. 2000 new job. 215 million dollar Priscilla. T600 construction job. CenturyLink is staying put forth as the past year shows the highest GDP and personal income in our state's history.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_LA_EDWARDS_HIGHEST_CITY.wmv,0.7920024,0.212829736211031
GOV_LA_EDWARDS_HIGHEST_COAST,"John Bel Edwards is releasing, the state's unemployment report and the results show. Louisiana has made huge progress. The lowest unemployment rate in 1,000 new jobs, construction jobs, Centurylink near shows the highest GDP and personal income in our state's history.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_LA_EDWARDS_HIGHEST_COAST.wmv,0.7920024,0.212829736211031
GOV_LA_EDWARDS_HIGHEST_DOWNTOWN,What does releasing the state unemployment report and the results Louisiana has more than 2.5 billion dollars to the past 10 years shows the highest GDP and personal income in our state's history.,http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_LA_EDWARDS_HIGHEST_DOWNTOWN.wmv,0.7920024,0.212829736211031
GOV_LA_EDWARDS_HIGHEST_RIVER,Where does religion Estates unemployment and the results Louisiana has made huge progress unemployment rate in a 2215 S600 construction job CenturyLink. Kashmir shows the highest GDP and personal income in our state's history.,http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_LA_EDWARDS_HIGHEST_RIVER.wmv,0.7920024,0.212829736211031
GOV_LA_EDWARDS_HIGHEST_SKYSCRAPER,"What does releasing the state's unemployment report? And the results Louisiana has a billion dollars. 2000 new job. 215 million dollar facility. 600 construction jobs. CenturyLink is staying. Put the past mirror shows, the height of a piece and personal income in our state's his",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_LA_EDWARDS_HIGHEST_SKYSCRAPER.wmv,0.7920024,0.212829736211031
GOV_LA_EDWARDS_HIGHEST_TOWER,In the state's unemployment report dollars. 2000 new job 215 million-dollar pasilla T600 construction job. CenturyLink is staying put is GDP and personal income in our state's history.,http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_LA_EDWARDS_HIGHEST_TOWER.wmv,0.7920024,0.212829736211031
GOV_LA_EDWARDS_STILL_JOHN_BEL,"They say politics changes people, but don't tell that to John Bel Edwards. He's literally state to a budget crisis and natural disasters, expanded health care for working, people invested in students and teachers and grew our economy through it. All. He's never losing sight of what's important or is he still John Bell? Still one of us?",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_LA_EDWARDS_STILL_JOHN_BEL.wmv,0.7920024,0.212829736211031
