alt,transcript,link,alpha,wmp_ratio
GOV_AL_WILSON_BUSINESS_MAN_AND_HUMBLE_SERVANT,"You and me, we can improve the future of Mississippi.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_AL_WILSON_BUSINESS_MAN_AND_HUMBLE_SERVANT.wmv,0.863977,0.212829736211031
GOV_IL_PRITZKER_FALSE_ATTACK,"Is a false attack. This is a governor getting things done. The truth is state legislators will not be getting raises. Its governor pritzker who work to pass a bipartisan budget, making education a priority expanding access to health care, and finding common ground with Republicans on issues, like investing in our state's infrastructure, and he's working night and day to help Illinois, confront. The pandemic, Governor pritzker has risen to this moment.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_IL_PRITZKER_FALSE_ATTACK.wmv,0.863977,0.212829736211031
GOV_KY_ADKINS_DO_BETTER,"Parts of our state had little hope. We can do better in Kentucky. Kentucky ranked second in the production of parts to build planes Rockets around the world. I helped make it happen. L & Auto in energy production, also, help make that possible. We need New Roads neighborhood and every Howard in, Kentucky.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_KY_ADKINS_DO_BETTER.wmv,0.863977,0.212829736211031
GOV_KY_ADKINS_IT_IS_TIME,"It's time, it's time for a governor who will invest in our public schools and secure public. Pensions Rocky Adkins.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_KY_ADKINS_IT_IS_TIME.wmv,0.863977,0.212829736211031
GOV_KY_BESHEAR_A_CHAMPION,"Kentucky, teachers and First Responders needed a champion to take on Governor Bevin, Andy, beshear live the fight to protect their retirement in our schools. Were you as a teacher and candidate for lieutenant? Governor? I've seen Andy take on boys. That's why we need Andy. Beshear is governor.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_KY_BESHEAR_A_CHAMPION.wmv,0.863977,0.212829736211031
GOV_KY_BESHEAR_CARES,"Is trying to take Healthcare away. From families companies cares about himself. There are families down. They harm those most in need and they don't help those that are forgotten. When I say, I mean it we can do so much better and as governor.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_KY_BESHEAR_CARES.wmv,0.863977,0.212829736211031
GOV_KY_BESHEAR_EDUCATION_CUTS,"Imagine having just one school in your community and the lights are turned off. That could happen with Governor. Bevins education Cuts, Andy. And I went to Kentucky public schools right here. Thanks for having us seem like a good man who put our kids first promises to teachers and other schools are our future.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_KY_BESHEAR_EDUCATION_CUTS.wmv,0.863977,0.212829736211031
GOV_KY_BESHEAR_FUTURE_15,Kentucky should be doing better. We have the people and the talent. I'll be a governor that expands opportunity invest in Career and Technical education skills training and apprenticeships and I'll always protect your health care. I'll put Kentucky Families First.,http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_KY_BESHEAR_FUTURE_15.wmv,0.863977,0.212829736211031
GOV_KY_BESHEAR_IN_HIS_OWN_WORDS_15,Somewhere in Kentucky today a child was sexually assaulted. It was left at home because there was nobody there to watch it with a group of people that I never said about an educator. Nothing.,http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_KY_BESHEAR_IN_HIS_OWN_WORDS_15.wmv,0.863977,0.212829736211031
GOV_KY_BESHEAR_LAURA,"Teachers selfish and nothing that I have ever said about an educator. She doesn't respect Working Class People every time. Matt Bevin, Andy, beshear lifts us up and he wanted Matt Bevin devises an Andy unites us and that's the difference.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_KY_BESHEAR_LAURA.wmv,0.863977,0.212829736211031
GOV_KY_BESHEAR_RESPECT,Just like my kids. I was raised with power Kentucky values. We treat everyone with respect thing. I've got us attorney general. I'm running for governor to build a better Kentucky for my kids and for,http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_KY_BESHEAR_RESPECT.wmv,0.863977,0.212829736211031
GOV_KY_BESHEAR_ROCKY,"Call for Eastern Kentucky, my whole life for our jobs and our people for Hope and opportunity. Kentucky needs Andy beshear as Governor. He'll fight for us and treat us with respect our current governor. He doesn't do that. Thanks, Rocky instead of attacking and dividing. Our people focus on better paying jobs career and skills training and apprenticeships and I'll always protect our Miners and your health care for all, Kentucky.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_KY_BESHEAR_ROCKY.wmv,0.863977,0.212829736211031
GOV_KY_BLUEGRASSVALUES_CAREERS,"I want to be friends with the governor. I want to get hired for my connection at the same time. Matt Bevin took money out of public schools and try to take away benefits from firefighters and police officers. He gave six-figure salaries to his friends and campaign contributors at taxpayer expense. Heat Parts, Kentucky future. It's time for him to go.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_KY_BLUEGRASSVALUES_CAREERS.wmv,0.863977,0.212829736211031
GOV_KY_BLUEGRASSVALUES_ROOTS_RUN_DEEP,"Do you want to see what kind of Governor Andy beshear will be. Look at what he's done. Suing the big drug companies, flooding Kentucky with opioids, taking child, Predators off the streets. In record numbers taking down sex offenders by using DNA evidence that had been ignored and standing up there to protect pensions and Public Schools. Is Governor. Andy beshear will always put Kentucky families first because his Kentucky Roots Run Deep.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_KY_BLUEGRASSVALUES_ROOTS_RUN_DEEP.wmv,0.863977,0.212829736211031
GOV_KY_EDELEN_LARRY,"You know who Andy beshear's dad is, my name is Larry me a heck of a lot of hard work, never killed anybody and he's a great for us growing up. Prescriptions down training for folks who needed and as Governor. I will Adam edelen Democrat.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_KY_EDELEN_LARRY.wmv,0.863977,0.212829736211031
GOV_KY_GOFORTH_BULLY,"Are you set up with Matt? Bevin insulting, our teachers ridiculing, our judges demeaning? Kentuckians. He even called her kids off. Outrageous given bed and went to a New England boarding school that cost 63000 a year. I'm Robert Goforth. It is Governor. I'll restore Civility and respect all kentuckians.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_KY_GOFORTH_BULLY.wmv,0.863977,0.212829736211031
GOV_KY_GOFORTH_THE_PLAN,"I'm Republican state representative Robert Goforth, and I'm running for governor because I think Kentucky deserves better. I've laid out a very detailed plan to Salt tax reform, education in help. You don't have to raise every Kentucky, Republican governor.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_KY_GOFORTH_THE_PLAN.wmv,0.863977,0.212829736211031
