alt,transcript,link,alpha,wmp_ratio
GOV_VT_WINBURN_CLIMATE_CHANGE,When is the last time we had last season? January 2020. Appointment.,http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_VT_WINBURN_CLIMATE_CHANGE.wmv,0.8725734,0.212829736211031
GOV_VT_WINBURN_CLIMATE_CHANGE_2,Station was the last time we had every winner of climate change. And I approve this ad.,http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_VT_WINBURN_CLIMATE_CHANGE_2.wmv,0.8725734,0.212829736211031
GOV_VT_ZUCKERMAN_BIG_DIFFERENCES,"There are big differences in the choice for governor, the minimum wage, David, soccer goals, for corporate polluters. Phil Scott proposed cuts. That would have meant losing over, 4,000 jobs in our schools. I'm running for a better future, a stronger, Vermont.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_VT_ZUCKERMAN_BIG_DIFFERENCES.wmv,0.8725734,0.212829736211031
GOV_VT_ZUCKERMAN_CLIMATE_CHANGE,"This is what climate change. Looks like. This is our governor who passed Paid Family Leave. Our governor vetoed it. These are our state colleges. Our Governor's budget would have closed. This is how we make real progress on climate, change, Healthcare education and jobs.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_VT_ZUCKERMAN_CLIMATE_CHANGE.wmv,0.8725734,0.212829736211031
HOUSE_CA52_PETERS_WHATEVER_HAPPENED_TO_UNITED,"Whatever happened to the united in the United States of America. When's that our enemies become each other. Our country is getting a wake-up call. I'm Scott Peters. Our problems will be solved by tearing each other apart. We've got to start listening caring for and respecting each other again, so we can build in America that works for everyone. I'm Scott Peters approve this message because we are all in this together.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_CA52_PETERS_WHATEVER_HAPPENED_TO_UNITED.wmv,0.8725734,0.212829736211031
HOUSE_CA53_FORWARDCALIFORNIA_PEOPLE_GET_HURT,"When I bite each other, instead of fixing problems, people get hurt. Sara Jacobs has taken on some of the toughest problems helping people by connecting schools around the world to the internet to cut local, child poverty, in half. In Congress to combat climate change and make Healthcare more affordable. For everyone, Sarah Jacobs. Democrat for Congress was responsible for the content of this advertising.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_CA53_FORWARDCALIFORNIA_PEOPLE_GET_HURT.wmv,0.8725734,0.212829736211031
HOUSE_CA53_FORWARDCA_THIS_IS_WHAT_HAPPENS,"This is what happens when politicians in Washington, has problems from here to combat, climate change and help families, afford health care, Democrat for congress, California.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_CA53_FORWARDCA_THIS_IS_WHAT_HAPPENS.wmv,0.8725734,0.212829736211031
HOUSE_CA53_JACOBS_BIGGEST_ISSUE_IS_HEALTHCARE,"For me personally, the biggest issue is health care and access to healthcare. Are generation count on me to do the same and so convey? Can I approve this message?",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_CA53_JACOBS_BIGGEST_ISSUE_IS_HEALTHCARE.wmv,0.8725734,0.212829736211031
HOUSE_CA53_JACOBS_BIGGEST_PROBLEM_BIGGEST_PRICE,"The politicians in Washington are simply unable to problems and issues like gun violence and climate change. It's the next generation will pay the biggest price. It's going to take new leadership and a new approach. Democrat, Sara Jacobs. Start doing things differently. Brandon actually get things done. I'm sorry, Jacob and I approve this message.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_CA53_JACOBS_BIGGEST_PROBLEM_BIGGEST_PRICE.wmv,0.8725734,0.212829736211031
HOUSE_CA53_JACOBS_BIG_PROBLEMS,"Big problems. Climate change. National Gun Violence, the housing crisis here at home. Not to mention him, but we only saw anything of Congress finally starts working together, Jacobs her approach. Listen to every time for partisan bickering. We need to actually get things done.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_CA53_JACOBS_BIG_PROBLEMS.wmv,0.8725734,0.212829736211031
HOUSE_CA53_JACOBS_CLIMATE_CHANGE,"We have big problems. Global climate change National Gun Violence, the housing crisis here at home. But we only listen to everyone a partisan bickering. We need to actually get things done.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_CA53_JACOBS_CLIMATE_CHANGE.wmv,0.8725734,0.212829736211031
HOUSE_CA53_JACOBS_TWO_DIFFERENT_VISIONS,Candidates for Democrats to choose for San Diego.,http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_CA53_JACOBS_TWO_DIFFERENT_VISIONS.wmv,0.8725734,0.212829736211031
HOUSE_CO03_IACINO_FAMILY_BUSINESS,"I'm James iacino. This is my family cuz I started here on the midnight shift and work my way to CEO today were paying higher wages and benefits leaving and environmental standards and keeping employees on during this crisis by cutting my pay. I approve this message because I'll use that experience to fight climate change, lower healthcare costs and Scott Tipton, but for now, from my family to yours pay state.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_CO03_IACINO_FAMILY_BUSINESS.wmv,0.8725734,0.212829736211031
HOUSE_CO06_CROW_FORMER_ARMY_RANGER_CLIMATE_CHANGE,A former Army Ranger who took his three combat tours of service to come is delivering. A new generation of leadership values for for Colorado is Jason Crow Congress. Jason Crow. I approve this message.,http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_CO06_CROW_FORMER_ARMY_RANGER_CLIMATE_CHANGE.wmv,0.8725734,0.212829736211031
HOUSE_FL18_EDFACTIONVOTES_CLEAN_AIR,"Clean air fresh water and defrosting Coastline. Those are things we can all agree on. That's why Congressman Brian. Mast Works across the aisle to protect Florida's Coast from the impacts of climate change. Brightness is committed to ban offshore drilling and protecting our Fisheries. He knows what makes our community special and is fighting to protect our children from Mercury and toxic air pollution, Brian that fighting for Florida's environment today and tomorrow.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_FL18_EDFACTIONVOTES_CLEAN_AIR.wmv,0.8725734,0.212829736211031
HOUSE_IA01_HOUSEMAJFWD_FOR_TOO_LONG,"For too long. I was Royal infrastructure has been forgotten. Abby finkenauer knows how to get our economy on track. That's why she passed a mess of bipartisan investment in rural infrastructure and energy to create good-paying job. Protect from climate change and flooding, and we build Bridges and Roads. Abby finkenauer will build a strong future for Rural, Iowa, but she needs your help to get it done. Tell your Senators to join her. In passing. The moving forward Act.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_IA01_HOUSEMAJFWD_FOR_TOO_LONG.wmv,0.8725734,0.212829736211031
HOUSE_IL06_CASTEN_SCIENTIST,Sean Casten and it's far from Over The Way Forward is to follow the science and get our economy back on its feet.,http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_IL06_CASTEN_SCIENTIST.wmv,0.8725734,0.212829736211031
HOUSE_IL12_LENZI_ONLY_ONE_CANDIDATE,"Emre Lindsay candidate for congress in Illinois. If there is only one candidate on the ballot in healthcare education, climate change and women's rights. There is only one candidate not backed by special interest. There is only one candidate who is a lifelong Illinois? Democrat vote Ray Lindsey the real Democrats on March 17th. We say forward. Not backwards. I'm ready. Lindsey and I approve this message.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_IL12_LENZI_ONLY_ONE_CANDIDATE.wmv,0.8725734,0.212829736211031
HOUSE_MA01_JUSTICEDEMS_HIS_ENTIRE_LIFE,"Her entire life has changed you taking millions of Corporations and forgotten about us here, who got the government to work for the people. He's running for congress to do the same for a future Medicare. For all the green New Deal, doesn't take a diamond, corporate Pac money. After 30 years. We need to change. Alex Morse is that change Justice. Democrats is responsible for the content of this.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_MA01_JUSTICEDEMS_HIS_ENTIRE_LIFE.wmv,0.8725734,0.212829736211031
HOUSE_MA01_JUSTICEDEMS_THE_GREEN_NEW_DEAL,"Massachusetts ends 11 people to come verse. All there for the green New Deal. Except rajini Niall is blocking Progressive action on climate change, Healthcare in our future. He's taking over $700,000 from the energy industry and is one of the few Democrats to take fossil fuel money, Richie Neal has been in Congress and State agencies and he acts like it, did she retire? Richie, Neil Justice. Democrats are responsible for the content.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_MA01_JUSTICEDEMS_THE_GREEN_NEW_DEAL.wmv,0.8725734,0.212829736211031
HOUSE_MA01_MORSE_MOVEMENT_ACROSS_AMERICA,"There's a movement Across America and economic Justice, combating climate, change, a human, right?",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_MA01_MORSE_MOVEMENT_ACROSS_AMERICA.wmv,0.8725734,0.212829736211031
HOUSE_MA04_ELMPAC_A_THING_OR_TWO,"Jake, auchincloss knows a thing or two about courage as a marine. He stood up to enemies abroad. Now. He's doing the same at home support. Frame project leadership in congress. Experienced leadership is responsible.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_MA04_ELMPAC_A_THING_OR_TWO.wmv,0.8725734,0.212829736211031
HOUSE_MA04_LINOS_AS_A_MOM,"As a mom of three little kids, there's never a good time to run for office. When you have something to offer, you step up where the midst of a global pandemic, and we need leaders who have to get us through this crisis. Dr. Natalie. Lino's is an epidemiologist with over 15 years of experience, tackling public health challenges in Congress. Building America, that works for everyone and I approve this message.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_MA04_LINOS_AS_A_MOM.wmv,0.8725734,0.212829736211031
HOUSE_MN05_MELTON-MEAUX_CONTROVERSIAL_DIVISIVE,"Controversial divisive, ethics violations. Progressive Democrat committed to ending things done for you. I meant tell Mel to Newk's and I approve this message.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_MN05_MELTON-MEAUX_CONTROVERSIAL_DIVISIVE.wmv,0.8725734,0.212829736211031
HOUSE_MN05_MELTON-MEAUX_TOXIC_TRUMP,Nothing is more important than ending. Donald Trump's toxic presidency. I'm answer mail to Muse Progressive Democrat. All its forms. Jason cameras are selling books for you to transform policing and short equal rights and work with urgency to in climate change. I'm in. So Milton mutes and I approve this message because we need Progressive leadership. It gets things done for you.,http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_MN05_MELTON-MEAUX_TOXIC_TRUMP.wmv,0.8725734,0.212829736211031
HOUSE_NC09_CFGACTION_GREEDY_DAN_MCCREADY,"Why do they call him greedy? Dan McCready? The nonprofit McCready help run bankrolled, lobbying for costly environmental rules that raise your utility bills. That made him big process. Now the freebies taken thousands in campaign. Money from Eco extremist groups. The fact, the green New Deal, $65,000 a year greedy. Dan McCready, too costly for congress Club. For Growth Action is responsible for the content of this advertising.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_NC09_CFGACTION_GREEDY_DAN_MCCREADY.wmv,0.8725734,0.212829736211031
HOUSE_NC11_DAVIS_BORN_AND_RAISED_60,"Timer Davis. I was born raised and educated in North Carolina, then serve my country in the Air Force for 25 years. I was best known for her role as Chief prosecutor, Guantanamo Bay in order to use evidence obtained. By torture. I retired as a colonel work as a national security specialist to Congress Allah professors in a judge with the US Department of Labor. Now, I'm running for congress in corrupt in America's history, and I want to bring integrity and a commitment to Public Service back to Capitol Hill.There are so many important issues like climate change healthcare jobs and education that need to be addressed. But repairing, the cracks in the foundation of our democracy, has to be job. Once I'm going to stand up and fight. Hi, Moe, Davis. I approve this message.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_NC11_DAVIS_BORN_AND_RAISED_60.wmv,0.8725734,0.212829736211031
HOUSE_NM03_BLAIR_CELL_NUMBER_60,"I'm John Blair, as a candidate for congress. I'm giving out my cell number to everyone. Why shouldn't you? Drug companies are gouging us. We can cut prices by forcing to negotiate. That's why I'm not taking a sip from the drug company, but actually refusing all corporate pack buddy, members of Congress could work for you, not for me, but that's just the beginning. Work for Maggie Toulouse. Oliver Ford Raptor about that up. I'm John Blair.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_NM03_BLAIR_CELL_NUMBER_60.wmv,0.8725734,0.212829736211031
HOUSE_NM03_BLAIR_WORKED_ON_CAPITOL_HILL,"I've worked on Capitol Hill. I see how much money is the special interest in drug companies. I return home to take on speaker contributions, as your deputy secretary of state in Mexico.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_NM03_BLAIR_WORKED_ON_CAPITOL_HILL.wmv,0.8725734,0.212829736211031
HOUSE_NM03_FERNANDEZ_NOW_MORE_THAN_EVER,"I'm Teresa Leger Fernandez more than ever that everything. We love is under attack, and we need to fight back. Donald Trump's handling of coronavirus. It's time we listen to The Experts and let science guy's how we govern. That means finally tackling the climate crisis and lowering the cost of healthcare. So no one goes bankrupt just because I got sick this message, and I'm asking for June 2nd. Thank you.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_NM03_FERNANDEZ_NOW_MORE_THAN_EVER.wmv,0.8725734,0.212829736211031
HOUSE_NM03_PLAME_UNDERCOVER_60,"An undercover CIA operative and terrorists from getting nuclear weapon. You name a hotspot. I lived it against my husband, at least my identity the chief of staff scooter living. Service was cut short when my own government betrayed me. We left Washington to raise our kids in New Mexico. One of the best places on Earth. Now, I'm running for congress because we're going backwards on Healthcare climate change and immigration. The CIA really does like this, you've maybe heard my name. Hey, mister president, I'm fighting for New Mexico. I'm Valerie Plame and I approve this message.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_NM03_PLAME_UNDERCOVER_60.wmv,0.8725734,0.212829736211031
HOUSE_NM03_SERNA_ISSUE_ORIENTED_CAMPAIGN,"Hi. Hi, Marco, Serna. When I announced my run for Congress, I promised an issue oriented campaign. It's only right? That voters, Noah candidates priorities, and where we stand on the issues. That's why I released detailed position papers. On the economy, climate change, Healthcare education, immigration, opioids, the Middle East and roll New Mexico, please visit Marco for congress. Calm and understand why I am the best candidate for congress. I'm Marcus or not, and I approve this at",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_NM03_SERNA_ISSUE_ORIENTED_CAMPAIGN.wmv,0.8725734,0.212829736211031
HOUSE_NY16_BOWMAN_THE_NEW_YORK_TIMES,Has been in Congress since 1989 and has connections. Middle School in the Bronx that needs new energy. I'm Jamal Bowman. And I approve this message.,http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_NY16_BOWMAN_THE_NEW_YORK_TIMES.wmv,0.8725734,0.212829736211031
HOUSE_NY24_HOUSEMAJFWD_IN_THESE_TOUGH_TIMES,"In these tough times, we need our leaders to help. Get us back on our feet but in Washington John cat goes standing. In the way of the relief. We need be voted against the jobs in infrastructure. Package, that would help our economy. Get going and invest in schools and hospitals. No one clean energy jobs. No one expanded Broadband access Inferno on addressing the climate crisis. John katko was wrong. Call him, Andrew senators and tell them. We need the moving forward Act.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_NY24_HOUSEMAJFWD_IN_THESE_TOUGH_TIMES.wmv,0.8725734,0.212829736211031
HOUSE_OR03_BLUMENAUER_ONE_OF_THE_MOST_IMPORTANT_60,"This election is one of the most important, our lifetime. What's at stake is I'll democracy to be an organizer, which I consider all the fellow organizer and you really have to hate Injustice, comes to climate change. It gives me hope that there is someone fighting alongside me a Bloomin hours fighting for housing at the federal level, get people into homes here in Portland and steady vision and consistent voice. It is vital. We are fighting to protect the time. We're fighting for the health care of our families. We're fighting for the future of our democracy.Because with the real change that was important before is even more important. Now. I'm Earl blumenauer and I approve this message.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_OR03_BLUMENAUER_ONE_OF_THE_MOST_IMPORTANT_60.wmv,0.8725734,0.212829736211031
HOUSE_PA10_BRIER_BRINGING_PROGRESSIVE_DEMOCRATS_TOGETHER,Thai on Tom Brier. And my campaign for Congress has always been about bringing Progressive Democrats together. Lots of democrats for now volunteering from home and this is what we believe it. The opioid crisis in our neighborhood. I approve this message because I hope you'll join us. Apply for your mail-in ballot today.,http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_PA10_BRIER_BRINGING_PROGRESSIVE_DEMOCRATS_TOGETHER.wmv,0.8725734,0.212829736211031
HOUSE_PA12_KELLER_SOCIALIST_WAY_AMERICAN_WAY,"There's a fight going on. It's a battle between those who say we should go to the Socialist way with the green New Deal and those like Fred Keller, who say, there's a better way, the American way as state representative for lower taxes and more jobs, friends, working, tirelessly to make sure that our children live better than we do. So, join the fight, say no to socialism. And yes, to the American, great say, yes to Fred Keller. I'm Fred Keller. And I approve this message.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_PA12_KELLER_SOCIALIST_WAY_AMERICAN_WAY.wmv,0.8725734,0.212829736211031
HOUSE_TX02_CRENSHAW_ENVIRONMENTALIST,"I'm an environmentalist. And I know climate change is real. I'm also rational your taxes plants. Make America. The world leader in clean energy, Innovation, reduce carbon emissions, and he's working. I'm Dan Crenshaw. I approve this message, because if we come together, we can put America on the path to a new energy Frontier.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_TX02_CRENSHAW_ENVIRONMENTALIST.wmv,0.8725734,0.212829736211031
HOUSE_TX28_CUELLAR_ENERGY_SOLUTIONS_15,"Realistic solutions that make energy affordable and stimulate our economy without cutting jobs in climate change. The right way, is not something that could be compromised. I'm in required and I approve this message.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_TX28_CUELLAR_ENERGY_SOLUTIONS_15.wmv,0.8725734,0.212829736211031
HOUSE_WA10_STRICKLAND_WHY,"Why am I voting for Maryland Strickland for Congress? The public health care, option, Social Security, and Medicare States ever elected to congress.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_WA10_STRICKLAND_WHY.wmv,0.8725734,0.212829736211031
HOUSE_WV02_KUNKEL_CLIMATE_CHANGE,"I'm in West Virginia is coming in. D.c. To block action on this issue, West, Virginia.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_WV02_KUNKEL_CLIMATE_CHANGE.wmv,0.8725734,0.212829736211031
PRES_ACTNOWONCLIMATE_JOIN_THE_FIGHT,Jay Inslee governor. Jay Inslee for president. Sign up cam.,http://mycmag.kantarmediana.com/KMIcmagvidbin2/PRES_ACTNOWONCLIMATE_JOIN_THE_FIGHT.wmv,0.8725734,0.212829736211031
PRES_ACTNOWONCLIMATE_TOP_PRIORITY,"When your house is on fire obvious, what's your top priority? When the world's on fire? There shouldn't be any question either but Democrats aren't making climate change. The number one issue only Governor Jay Inslee at the record and plan to fix it. In Italy is a fold environmental leader with a gold standard climate plan for president.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/PRES_ACTNOWONCLIMATE_TOP_PRIORITY.wmv,0.8725734,0.212829736211031
PRES_ACTNOWONCLIMATE_TOP_PRIORITY_LOGOS,"When your house is on fire obvious, what's your top priority? When the world's on fire? There shouldn't be any question either but Democrats aren't making climate change. The number one issue only Governor Jay Inslee at the record and plan to fix it. In three is a bold environmental leader for president.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/PRES_ACTNOWONCLIMATE_TOP_PRIORITY_LOGOS.wmv,0.8725734,0.212829736211031
PRES_APPPAC_SANDERS_ENDORSEMENT,"Every person who voted from the tank to the other candidates understands Donald Trump is the most dangerous president, and the Beetle and defeat them whether it is Healthcare in the economy. Joe Biden would be the most Progressive Presidents since FDR, Joe Biden for president Emeritus Progressive, This pack is responsible for the content of his ass.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/PRES_APPPAC_SANDERS_ENDORSEMENT.wmv,0.8725734,0.212829736211031
