alt,transcript,link,alpha,wmp_ratio
PRES_PRIORITIESUSA_THE_RIGHT,I have the right to do whatever I want. As president government shutdown has a lot on his mind at least according to his Twitter account concerns that the new missiles could reach the United States would like to do whatever I want. This President is responsible.,http://mycmag.kantarmediana.com/KMIcmagvidbin2/PRES_PRIORITIESUSA_THE_RIGHT.wmv,1,0.212829736211031
USSEN_AZ_MAJORITYFORWARD_SHUTDOWN_MCSALLY,"What's the longest government shutdown in history? 800,000 workers furloughed or working without being paid food. Safety inspection. Stopped Nationwide and Pilots. Warned. Our air security is now a trip and where is Martha McSally? Instead of being independent, besides with her party leaders, who refuse to even allow a vote to reopen, the government. Tell Martha, McSally Arizona over party and demand an end, to the shutdown.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/USSEN_AZ_MAJORITYFORWARD_SHUTDOWN_MCSALLY.wmv,1,0.212829736211031
USSEN_CO_MAJORITYFORWARD_SHUTDOWN,"What's the longest government shutdown? In history, 800,000 workers furloughed for working without being paid food safety. Inspections Scott Nationwide and pilots who warned our are security is now at risk. And where is Cory Gardner? He pretends to be independent, but he sides with Party leaders who refuse to even allow a vote to reopen, the government tell, Cory Gardner, put Colorado, over party and demanded an end to the shutdown.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/USSEN_CO_MAJORITYFORWARD_SHUTDOWN.wmv,1,0.212829736211031
USSEN_GA_MAJORITYFORWARD_SHUTDOWN,"What's the longest government shutdown in history 800,000 workers furloughed or working without being paid food? Safety inspection, stopped Nationwide. And Pilots have warned. Our air security is now would risk. And where is David Perdue, instead of being independent, he sides with his party leaders, who refuse to even allow a vote to reopen the government. Tell David Perdue, put Georgia over party and demand, an end to this shut.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/USSEN_GA_MAJORITYFORWARD_SHUTDOWN.wmv,1,0.212829736211031
USSEN_IA_MAJORITYFORWARD_SHUTDOWN,"It's the longest government shutdown in history, food, safety inspection. Scop Nationwide. Pilots have warned. Our air security is now at wrist and across Iowa, countless Farmers cut off from the vital programs. They rely on it. And where is Joni Ernst, instead of being independent? She sides with her party leaders, who refuse to even allow a vote to reopen, the government. Tell Joni, Ernst put Iowa over party and demand, an end, to the shutdown.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/USSEN_IA_MAJORITYFORWARD_SHUTDOWN.wmv,1,0.212829736211031
USSEN_KY_MCCONNELL_STEADY_HAND_60,"He serves with a steady hand through some of our greatest challenges, a powerful response to the terror attacks of 9/11 Swift bipartisan action during the financial crisis walking, his back from a federal, budget crisis and ending of government shutdown, protecting our coal, miners their pensions and health care tax relief for Kentucky, families, delivering for our farmers, and workers, our veterans weather abroad, or at home reading. The passage of the biggest economic rescue package in history and fighting this virus. When unexpected challenges confronting us. There is one man sent by Kentucky, to do the right thing for all of us.Experience when experience Matters. Most I'm Mitch McConnell, and I approve this message.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/USSEN_KY_MCCONNELL_STEADY_HAND_60.wmv,1,0.212829736211031
USSEN_ME_1820PAC_FIGHTS_AND_WINS,"Winter Blanco company wanted billions in tax giveaways, Susan Collins, when the big drug companies, work out lower drug prices and honest effective. Independent 1820 back is responsible for",http://mycmag.kantarmediana.com/KMIcmagvidbin2/USSEN_ME_1820PAC_FIGHTS_AND_WINS.wmv,1,0.212829736211031
USSEN_ME_COLLINS_MOMENTS_60,"Deadly attack in to call for the leadership and epic hurricane and the investigations that provided and strengthened America's emergency response government shutdown, the L out of and she did. She led the fight that secured Medicare for our seniors. She was the deciding vote to protect patients with pre-existing conditions and during this devastating pandemic, with our economy in the balance. She crafted a response which protected 250,000 name. Jobs through it all, she cares, she delivers for men and America in",http://mycmag.kantarmediana.com/KMIcmagvidbin2/USSEN_ME_COLLINS_MOMENTS_60.wmv,1,0.212829736211031
USSEN_ME_MAJORITYFORWARD_SHUTDOWN,"It's the longest government shutdown in history, food, safety, inspection. Stop. Nationwide. Pilots have warned. Our air security is now at risk and here, in Maine Coast Guard Personnel patrolling. Our waters are forced to work without pay and where is Susan Collins? She pretends to be independent, but she sides with Party leaders, who refuse to even allow a vote to reopen, the government. Tell Susan, Collins put Maine over party and demand, an end, to the shutdown.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/USSEN_ME_MAJORITYFORWARD_SHUTDOWN.wmv,1,0.212829736211031
USSEN_NC_MAJORITYFORWARD_SHUTDOWN,"It's the longest government shutdown in history food safety, inspections Nationwide Pilots of a trip. And here in North Carolina. The shutdown has forced to slow down for Hurricane recovery. And where is Thom Tillis instead of being independent? He sides with his party leaders, who refuse to even allow a vote to reopen the government. Tell Thom Tillis, put North Carolina over party and demanded an end to the shutdown.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/USSEN_NC_MAJORITYFORWARD_SHUTDOWN.wmv,1,0.212829736211031
