alt,transcript,link,alpha,wmp_ratio
GOV_AL_WILSON_BUSINESS_MAN_AND_HUMBLE_SERVANT,"You and me, we can improve the future of Mississippi.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_AL_WILSON_BUSINESS_MAN_AND_HUMBLE_SERVANT.wmv,0.7732577,0.212829736211031
GOV_IL_PRITZKER_FALSE_ATTACK,"Is a false attack. This is a governor getting things done. The truth is state legislators will not be getting raises. Its governor pritzker who work to pass a bipartisan budget, making education a priority expanding access to health care, and finding common ground with Republicans on issues, like investing in our state's infrastructure, and he's working night and day to help Illinois, confront. The pandemic, Governor pritzker has risen to this moment.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_IL_PRITZKER_FALSE_ATTACK.wmv,0.7732577,0.212829736211031
GOV_KY_ADKINS_BLUEGRASS,Do you know me? Scholarship on the Democratic leader in the legislature. The governor protect your health care in our Public Schools. Give me a governor for the little guy.,http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_KY_ADKINS_BLUEGRASS.wmv,0.7732577,0.212829736211031
GOV_KY_ADKINS_IT_IS_TIME,"It's time, it's time for a governor who will invest in our public schools and secure public. Pensions Rocky Adkins.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_KY_ADKINS_IT_IS_TIME.wmv,0.7732577,0.212829736211031
GOV_KY_BESHEAR_CARES,"Is trying to take Healthcare away. From families companies cares about himself. There are families down. They harm those most in need and they don't help those that are forgotten. When I say, I mean it we can do so much better and as governor.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_KY_BESHEAR_CARES.wmv,0.7732577,0.212829736211031
GOV_KY_BESHEAR_DIGNITY,"Baptist preachers from Western Kentucky. Just as a guide to my work today and helping a lost in the Left Behind the victims of rape, human trafficking and child abuse and families worried about losing their health care values. Brittany and I teach to our kids and those are the values. I'll bring back to Frankfort.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_KY_BESHEAR_DIGNITY.wmv,0.7732577,0.212829736211031
GOV_KY_BESHEAR_FUTURE_15,Kentucky should be doing better. We have the people and the talent. I'll be a governor that expands opportunity invest in Career and Technical education skills training and apprenticeships and I'll always protect your health care. I'll put Kentucky Families First.,http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_KY_BESHEAR_FUTURE_15.wmv,0.7732577,0.212829736211031
GOV_KY_BESHEAR_JANE_AND_STEVE_BESHEAR_15,"Hey, Jamie, listen to this but share joins fight to preserve Healthcare in Kentucky.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_KY_BESHEAR_JANE_AND_STEVE_BESHEAR_15.wmv,0.7732577,0.212829736211031
GOV_KY_BESHEAR_LUKAS,Lucas has diabetes. Some politicians are trying to take away HealthCare coverage for pre-existing conditions that would hurt Lucas and nearly half of all kentuckians. Governor Bevin won't. I'll be a governor that fights for Kentucky families.,http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_KY_BESHEAR_LUKAS.wmv,0.7732577,0.212829736211031
GOV_KY_BESHEAR_MY_FAMILY,"Time Andy beshear, my family means everything to me. Have a pre-existing condition, just like many Kentucky families as Attorney General on fighting to prevent insurance companies and the government from taking away coverage for pre-existing conditions are families and poison our communities, without feeling, because it's the right thing to do.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_KY_BESHEAR_MY_FAMILY.wmv,0.7732577,0.212829736211031
