alt,transcript,link,alpha,wmp_ratio
GOV_MT_GJMT_NOAH,"This is what Greg gianforte thinks about your hard-earned. Social Security taxi wasn't hanging out. He was working, right? So I think we have an obligation to work till retirement security for us Millions for him.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_MT_GJMT_NOAH.wmv,0.9191548,0.212829736211031
GOV_MT_GJMT_VITAL,"Affordable Health Care is vital. We could lose our healthcare because cutting access to Doctors close to home and cutting Insurance motorcycle, premiums Skyrocket, the fax gianforte takes thousands in campaign, cash from the healthcare industry himself, never for us.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_MT_GJMT_VITAL.wmv,0.9191548,0.212829736211031
HOUSE_AR02_DCCC_DO_THE_MATH,"When it comes to friends, hell we've got to do the math. This campaigns have taken more than 2.9 billion in corporate, special interest money and one of the benefits to the richest Americans and his donors on middle-class, Arkansas, Social Security, and Medicare with french hill and Dad's up for them. Not for us. DCCC is responsible for the content of this advertising.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_AR02_DCCC_DO_THE_MATH.wmv,0.9191548,0.212829736211031
HOUSE_AR02_ELLIOTT_A_LITTLE_SECRET,"I'm Joyce Elliott to let you in on a little secret for Social Security and Medicare. Are you sure can imagine, for the retired teacher had count on them? Pretty girl, has a secret to keep voting for cuts to Social Security, and Medicare just found a huge tax break for the wealthiest by himself. I approve this message because french hill, may not need Social Security, or Medicare for people who do",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_AR02_ELLIOTT_A_LITTLE_SECRET.wmv,0.9191548,0.212829736211031
HOUSE_AR02_ELLIOTT_THESE_ARE_MY_MOTHERS_HANDS_60,"These are my Mother's Hands. My grandmother's hands. For kids from Arkansas, grow up watching their Elders work. It's how they taught us. You reap what you sow. If it breaks you fix it yourself. I became a teacher inspired by integration. I became a lawmaker the fight for fordable health care and lower taxes for working people on Joyce, Elliott and there is so much to fix a congressman french hill axis Bank executives. And I plan to pay for it by cutting our social security and Medicare. I approve this message, and I'm running for congress because the strongest future is in our hands.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_AR02_ELLIOTT_THESE_ARE_MY_MOTHERS_HANDS_60.wmv,0.9191548,0.212829736211031
HOUSE_AR02_HILL_WASHINGTON_ALLIES,"And I approve this message. Please fight to protect those with pre-existing conditions, Joyce Elliott. Once a full government takeover of Health Care taking away the health insurance, you get at your job and costing Trillium in the process node, radical liberal.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_AR02_HILL_WASHINGTON_ALLIES.wmv,0.9191548,0.212829736211031
HOUSE_AR02_HILL_WHEN_MY_DAD_WENT_TO_CONGRESS,I'm by the Hill Congress. I was so proud to text Liza. I'm friendship and I approve this message.,http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_AR02_HILL_WHEN_MY_DAD_WENT_TO_CONGRESS.wmv,0.9191548,0.212829736211031
HOUSE_AR03_WILLIAMS_NURSE_AND_PROUD_ARKANSAN,"I approve this message or cans in because you get sick. Take our Public Health crisis, seriously, and make Healthcare affordable and I'll never vote to cut Social Security or Medicare. If you earn it, you keep it. It's time. Congress.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_AR03_WILLIAMS_NURSE_AND_PROUD_ARKANSAN.wmv,0.9191548,0.212829736211031
HOUSE_AR03_WILLIAMS_WE_KNOW_CHICKENS,"In Arkansas in Congress because he knows you'll ask why he tried to slash Social Security and Medicare. He's too chicken to stand up to his corporate donors. So, my patients get higher prescription prices every year your wages for all Arkansas. I'm Celeste Williams, and I approve this message.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_AR03_WILLIAMS_WE_KNOW_CHICKENS.wmv,0.9191548,0.212829736211031
HOUSE_AZ06_TIPIRNENI_ON_THE_SPOT,"As an emergency room doctor. I had to solve problems on the spot. No politics. No excuses. My plan starts with protecting coverage for pre-existing conditions, including coronavirus, West, Washington.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_AZ06_TIPIRNENI_ON_THE_SPOT.wmv,0.9191548,0.212829736211031
HOUSE_CA10_HARDER_YOU_WORKED_HARD,"You've worked hard safe for your almost ready for retirement. But 10 house wants to raise the retirement age to 70. Just listen. It gets worse, Medicare is a nightmare has called for devastating cuts to Medicare and Social Security to rely on Social Security and Medicare they earned it and I'll always protect it.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_CA10_HARDER_YOU_WORKED_HARD.wmv,0.9191548,0.212829736211031
HOUSE_CA21_DCCC_WE_TAKE_CARE_OF_EACH_OTHER,"Here in the valley, we take care of each other, but David valadao is out for himself every time for healthcare security and Medicare and even supported each time. We turn our back on him. DCCC is responsible for the content of this advertising.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_CA21_DCCC_WE_TAKE_CARE_OF_EACH_OTHER.wmv,0.9191548,0.212829736211031
