alt,transcript,link,alpha,wmp_ratio
GOV_KY_BLUEGRASSVALUES_AIR,"Welcome to are Bevin a private plane for Matt Bevin owned by Kentucky. Taxpayers with lice to fundraisers his vacation home in Maine serving. Destinations kept secret from taxpayers. It's none of their business and fasten your seatbelts and his friends are taking you for a ride to six-figure salaries, tax breaks for contributors companies. Even if Bevin tried taking away your health care just sitting Bevan and his cronies fly high, you pay the price.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_KY_BLUEGRASSVALUES_AIR.wmv,0.8790079,0.212829736211031
GOV_KY_BLUEGRASSVALUES_COMMUNITY,"A couple bucks here, a good-hearted, click there too often. It's the only way Kentucky and can pay for life-saving care. But as Governor, Matt Bevin tried to rip Healthcare away from 400 thousand, kentuckians, and supported letting insurance deny coverage, for nearly two million with pre-existing conditions, cost Kentucky. Look out for each other, but not Devin isn't looking out for, Kentucky.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_KY_BLUEGRASSVALUES_COMMUNITY.wmv,0.8790079,0.212829736211031
GOV_KY_EDELEN_AUSTIN,"My baby brother, Austin has Down syndrome. He's the best guy. I know, and he's my dad's best friend. Matt. Bevin is forgotten about my family and yours. He sold out to the insurance companies. Let them jack up, premiums, and took thousands off of their health care. When I'm Governor. Those days are over on spand, Medicaid, get prescription drug costs down and protect folks, with pre-existing conditions like Austin. It's not politics. It's personal.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_KY_EDELEN_AUSTIN.wmv,0.8790079,0.212829736211031
GOV_KY_EDELEN_CORPORATE_PAC_MONEY,"You may have heard you should know Melissa. She's smarter than me. It's true. I'll get wages up, expand, Medicaid, and create thousands of renewable energy jobs, and I'm not taking any tomato a Democrat for governor.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_KY_EDELEN_CORPORATE_PAC_MONEY.wmv,0.8790079,0.212829736211031
GOV_KY_EDELEN_ONLY_ONE,"If you ever prayed your mom's car would start on a cold morning or saw your dad get laid off from the plant. Well, we've got something in common, Titian so they can get ahead. But you can't, I'm the only candidate for governor. Not taking a dip in. The only person is you Adam edelen Democrat for governor.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_KY_EDELEN_ONLY_ONE.wmv,0.8790079,0.212829736211031
GOV_KY_EDELEN_ONLY_ONE_15,you've ever sweat from the plant is,http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_KY_EDELEN_ONLY_ONE_15.wmv,0.8790079,0.212829736211031
GOV_KY_EDELEN_RAW_DEAL,"I'm going to level with you. You're getting a raw deal in Frankfurt right now. A lobbyist at number lawmakers 15. He's just another cell app badtameez was the only candidate for governor? Not taking corporate, Pac money, get wages up across-the-board, expand Medicaid, and create thousands of renewable energy jobs is here to Maitland Democrat for governor.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_KY_EDELEN_RAW_DEAL.wmv,0.8790079,0.212829736211031
GOV_KY_PUTTINGKYFIRST_RAISE_YOUR_HAND,"Weezer had to cover that your government plan. Would provide coverage for undocumented immigrants as Democrats running for president illegal immigrants. Just like National Liberals are supported at government takeover of our Healthcare and exterior even opposes requiring able-bodied adults to work while receiving benefits. Andy beshear is with them, not us.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_KY_PUTTINGKYFIRST_RAISE_YOUR_HAND.wmv,0.8790079,0.212829736211031
GOV_LA_EDWARDS_CINDY,I was working on cancer when the doctor's visits and treatments got too expensive. I had to put them on a credit card and my children because I couldn't work up getting treatment or going bankrupt.,http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_LA_EDWARDS_CINDY.wmv,0.8790079,0.212829736211031
GOV_LA_EDWARDS_CINDY_2,"Thanks to Governor Edwards, expanding Medicaid. I didn't have to choose between getting cancer treatment or going bankrupt. Now. I'm working full-time. But his opponents plan would take him away from hundreds of thousands of people need help. Just like I did. You may not have to like your life depends on it. But know that someone does.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_LA_EDWARDS_CINDY_2.wmv,0.8790079,0.212829736211031
GOV_LA_EDWARDS_THOUSANDS,"I have glaucoma need trouble by condition cancer, but I can walk recovery is about people.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_LA_EDWARDS_THOUSANDS.wmv,0.8790079,0.212829736211031
GOV_LA_GUMBO_THE_BOSS,"Picture of the boss. The one who always gets his way to cut Any Corner, if it means more money for him. Now, what is that? Boss, we're running for governor, he is and if Eddie rispone didn't look out for his workers. Why would he look out for you on Medicaid? Responding plan could cause hundreds of thousands to lose Healthcare. And his education policies were for school districts to slash funding Eddie rispone. He's always looked out for himself, paid for an authorized by gumbo PAC.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_LA_GUMBO_THE_BOSS.wmv,0.8790079,0.212829736211031
GOV_LA_RGARIGHTDIRECTION_A_SUCCESS,"Washington Democrats, what a full government takeover of health care, but John Bel Edwards has already started. Sending something, a federal probe handouts going to those who didn't qualify minions wasted over 40% of higher taxes and mismanagement.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_LA_RGARIGHTDIRECTION_A_SUCCESS.wmv,0.8790079,0.212829736211031
GOV_LA_RISPONE_MEDICAID_EXPANSION_15,"Mismanaged State, Medicaid expansion so bad. You wasted 85 million getting benefits to end. And then it's 16 million more on welfare for illegal immigrants. John Bel Edwards, too liberal for Louisiana.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_LA_RISPONE_MEDICAID_EXPANSION_15.wmv,0.8790079,0.212829736211031
GOV_MO_ASTRONGERMO_RED_ZONE,Missouri. In a Red Zone due to an increase in cases of covid-19 is ravaging our state Health Care Program. Time is running out that we can afford another failure from my car.,http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_MO_ASTRONGERMO_RED_ZONE.wmv,0.8790079,0.212829736211031
