alt,transcript,link,alpha,wmp_ratio
GOV_VT_WINBURN_LIVABLE_WAGE,Governor. Scott's last governor serve more than $15 an hour to $15 an hour out of my own pocket.,http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_VT_WINBURN_LIVABLE_WAGE.wmv,0.5532104,0.212829736211031
GOV_VT_WINBURN_WORKING_PEOPLE,"$15 an hour is too much for working people deserve, $15 an hour in Montpelier.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_VT_WINBURN_WORKING_PEOPLE.wmv,0.5532104,0.212829736211031
GOV_VT_ZUCKERMAN_BIG_DIFFERENCES,"There are big differences in the choice for governor, the minimum wage, David, soccer goals, for corporate polluters. Phil Scott proposed cuts. That would have meant losing over, 4,000 jobs in our schools. I'm running for a better future, a stronger, Vermont.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_VT_ZUCKERMAN_BIG_DIFFERENCES.wmv,0.5532104,0.212829736211031
HOUSE_DC01_STRACUZZI_CIVIL_RIGHTS_LEGEND,"Holmes Norton is a legend in the Civil Rights Movement. We need a new vision. For our city has jacuzzi a true champion for Statehood and fair labor laws for the issues that matter to check social security. Okay, cast your ballot for stracuzzi for district delegate to Congress.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_DC01_STRACUZZI_CIVIL_RIGHTS_LEGEND.wmv,0.5532104,0.212829736211031
HOUSE_HI02_WHF_LASTING_VALUES,"One of Hawaii's last fishing villages in Country, Estates in, delivering Breeze Community. Now running for congress, fighting for Medicare for all and living wages to help every family. Get ahead, caring Community Kai kahele Congress.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_HI02_WHF_LASTING_VALUES.wmv,0.5532104,0.212829736211031
HOUSE_IA01_FINKENAUER_SWEATSHIRT,"My dad was a union, pipefitter welder and I took a sweatshirt like my dad. American made. Hey, hey, goodbye. Make a good living but to have a good life. Drinking our and I approve this message because this is personal.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_IA01_FINKENAUER_SWEATSHIRT.wmv,0.5532104,0.212829736211031
HOUSE_IL03_NEWMAN_HARD_WORK_AND_EQUALITY,Little Company of Mary baptized at st. Barnabas raised in Beverly. In Palos. This community has believed in hard work to pay for college and went without health insurance when she couldn't afford it but became a successful small business wages for working people and ensure Health Care is a right for everyone. I'm wearing them in and I,http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_IL03_NEWMAN_HARD_WORK_AND_EQUALITY.wmv,0.5532104,0.212829736211031
HOUSE_LA06_WILLIAMS_DIGGING_GRAVES,Play instrumental in raising the federal minimum wage by Republican Congressman Garret Graves.,http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_LA06_WILLIAMS_DIGGING_GRAVES.wmv,0.5532104,0.212829736211031
HOUSE_MN05_OMAR_LEADER_IN_WASHINGTON_NEW_SPONSOR_TAG,"Minnesota ilhan, Omar in her first term in Congress ilhan passed bipartisan legislation to curb gun, violence to guarantee school lunches for our kids and it has leading the fight for Progressive back to Washington by August 11th. Vote for ilhan, Omar.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_MN05_OMAR_LEADER_IN_WASHINGTON_NEW_SPONSOR_TAG.wmv,0.5532104,0.212829736211031
HOUSE_NC11_DAVIS_SERVED_MY_COUNTRY,"Hi, Moe, Davis. I moved away from North Carolina to serve my country. I spent 25 years, in the Air Force retired as a colonel. I was a chief prosecutor, Guantanamo Bay. I was a law professor at Howard University. I was a national security specialist for Congress and more recently. I was a judge for the Department of Labor, after being away, serving the country for 30 years. I'm back. And I'm back to fight for Western, North Carolina. I'm O Davis, I approve this message.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_NC11_DAVIS_SERVED_MY_COUNTRY.wmv,0.5532104,0.212829736211031
HOUSE_NV02_AMODEI_HEROES_ACT,"They Nevada, some folks and criticize my no vote on speaker. What was in it? Well, there was defunding the police by about six hundred million dollars taking control of this federal election repealing. The Nevada legislature has recent minimum wage and making unemployment pay more than employment. Did I vote against that? Yes. I did. I Mark amodei and I approve this message.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_NV02_AMODEI_HEROES_ACT.wmv,0.5532104,0.212829736211031
HOUSE_OR04_DEFAZIO_MINIMUM_WAGE,"I don't think I should be a minimum wage. I don't think it should be mandated for children. Support him on Peter DeFazio, and I approve this message.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_OR04_DEFAZIO_MINIMUM_WAGE.wmv,0.5532104,0.212829736211031
HOUSE_OR04_DEFAZIO_THE_MORE_YOU_LEARN,"The more you worry, he doesn't believe in the minimum wage in Oregon Ian's author healthier scarlatos said he doesn't believe me. No, I do not like scarlato's fined for Dancing With the Stars.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_OR04_DEFAZIO_THE_MORE_YOU_LEARN.wmv,0.5532104,0.212829736211031
HOUSE_OR04_HOUSEMAJPAC_DANCES_WITH_THE_STARS,"Alek skarlatos dances with the stars, but he's out of step with hardworking, organ families, skarlatos. Opposes, the minimum wage, which was a center schools in grocery stores to help care for thousands of jobs in healthcare House. Majority. Pac is responsible for the content of this advertising.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_OR04_HOUSEMAJPAC_DANCES_WITH_THE_STARS.wmv,0.5532104,0.212829736211031
HOUSE_TX28_TXFWD_BIG_DIFFERENCE,"Is there really a difference in Democratic candidates? Yes, a damn big one. Henry Cuellar says, he's a Democrat. But he voted with Republicans to oppose Union. Took us funding to Planned Parenthood. He wouldn't even sponsor a raise in the minimum wage. But Jessica Cisneros is a Democrat. So, she'll always stand up to Republicans and stand up for Texas. Workforce, Texas, women and Texas families. Damn, big difference, Texas forward is responsible for the content of this advertising.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_TX28_TXFWD_BIG_DIFFERENCE.wmv,0.5532104,0.212829736211031
