alt,transcript,link,alpha,wmp_ratio
GOV_KY_BESHEAR_A_CHAMPION,"Kentucky, teachers and First Responders needed a champion to take on Governor Bevin, Andy, beshear live the fight to protect their retirement in our schools. Were you as a teacher and candidate for lieutenant? Governor? I've seen Andy take on boys. That's why we need Andy. Beshear is governor.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_KY_BESHEAR_A_CHAMPION.wmv,0.8878931,0.212829736211031
GOV_KY_BESHEAR_CARES,"Is trying to take Healthcare away. From families companies cares about himself. There are families down. They harm those most in need and they don't help those that are forgotten. When I say, I mean it we can do so much better and as governor.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_KY_BESHEAR_CARES.wmv,0.8878931,0.212829736211031
GOV_KY_BESHEAR_MY_FAMILY,"Time Andy beshear, my family means everything to me. Have a pre-existing condition, just like many Kentucky families as Attorney General on fighting to prevent insurance companies and the government from taking away coverage for pre-existing conditions are families and poison our communities, without feeling, because it's the right thing to do.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_KY_BESHEAR_MY_FAMILY.wmv,0.8878931,0.212829736211031
GOV_KY_BESHEAR_SHAMEFUL_AND_FALSE_15,The only person there helping is map.,http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_KY_BESHEAR_SHAMEFUL_AND_FALSE_15.wmv,0.8878931,0.212829736211031
GOV_KY_BEVIN_PROFIT,"But you stated publicly, you got no money ever from this. As a result of your firm settlement of Purdue Pharma was a client of the firm. Here's Law. Firm defended Purdue Pharma maker of oxycontin's sold-out, Kentucky. Wish you did profit from opioids. Just as Andy a client of the firm. Matt Bevin cracks down on opioids. He's moving, Kentucky.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_KY_BEVIN_PROFIT.wmv,0.8878931,0.212829736211031
GOV_KY_BEVIN_PURDUE_PHARMA'S_PARTNER,"Your Law Firm defended the maker of oxycontin's. You've personally profited from the Matt Bevin Salter us bringing the toughest anti opioid Crackdown in the nation and millions for treatment. Matt bevin's moving, Kentucky forward.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_KY_BEVIN_PURDUE_PHARMA'S_PARTNER.wmv,0.8878931,0.212829736211031
GOV_KY_BLUEGRASSVALUES_ROOTS_RUN_DEEP,"Do you want to see what kind of Governor Andy beshear will be. Look at what he's done. Suing the big drug companies, flooding Kentucky with opioids, taking child, Predators off the streets. In record numbers taking down sex offenders by using DNA evidence that had been ignored and standing up there to protect pensions and Public Schools. Is Governor. Andy beshear will always put Kentucky families first because his Kentucky Roots Run Deep.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_KY_BLUEGRASSVALUES_ROOTS_RUN_DEEP.wmv,0.8878931,0.212829736211031
GOV_KY_EDELEN_THE_FACTS,"If you're like me, you don't like negative political ads, that sometimes you have to hear the facts. Andy beshear just isn't being straight with you. He told you he's fighting corruption, but his top aide is in jail for taking bribes. He says, he'll fix Healthcare but the cigarette companies and makers of Oxycontin have spent hundreds of thousands getting him elected. That's the difference. If state tuition still work for you.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_KY_EDELEN_THE_FACTS.wmv,0.8878931,0.212829736211031
GOV_KY_KYFBF_ALL_ABOUT_THE_MONEY,"It's all about the money, but she are benefiting from hundreds of thousands and spending from outside groups bankrolled by corporations insurance company in 100,000, from Purdue Pharma the manufacturer of the Oxycontin that caused the opioid epidemic once in office, and he's hand-picked Longmire was convicted of campaign with Andy beshear. It's all about the money, not, Kentucky.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_KY_KYFBF_ALL_ABOUT_THE_MONEY.wmv,0.8878931,0.212829736211031
GOV_KY_PUTTINGKYFIRST_SANCTUARY_CITIES,"As a sheriff, I'm on the front lines of Kentucky's battle against opioids. I've seen how he legal immigration is destroying families, for bringing heroin into our communities, President Trump, and Governor. Bevin have it, right. We need to band Sanctuary cities cities. Governor. Bevin is the only one who will protect Kentucky families.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_KY_PUTTINGKYFIRST_SANCTUARY_CITIES.wmv,0.8878931,0.212829736211031
