alt,transcript,link,alpha,wmp_ratio
GOV_KY_BEVIN_LIFE,"Kentucky was moving backwards with liberal pro-abortion candidates gaining strength. Then we elected Christian conservative, political Outsider, Matt Bevin as Governor. He's a father of nine kids from adopted parent, Hood funded by abortion, clinic owners whose ass backwards. Matt. Bevin is pro-life and will keep us move.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_KY_BEVIN_LIFE.wmv,0.8882731,0.212829736211031
GOV_KY_BEVIN_TRUMP_ENDORSEMENT,"This guy was a really successful guy and he saw things happening in Kentucky. And he said, you know, I can do a, tremendous job, really has done. This date is doing so well. Do you have your lowest unemployment numbers in history? You have your best incomes in history. Do you have jobs and companies flowing back? And they said, terrific man had a terrific Governor, Matt, Bevin.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_KY_BEVIN_TRUMP_ENDORSEMENT.wmv,0.8882731,0.212829736211031
GOV_KY_BEVIN_WE_ARE_JUST_GETTING_STARTED_60,"The financially, Humble Home, Christian values, family of eight, three bedroom Farmhouse one bath. No shower hundred dollar cars never had health insurance to buy join the Army, but I always believed in the American dream. I worked my way up after a hundred years of backward policies and Kentucky. We're finally working our way up to President Trump is taking America to new heights, but it hasn't been easy. People are afraid of change, but I'm not neither is the president in together. Our changes are working lowest unemployment in Kentucky, history more than fifty thousand new jobs. Cutting red tape fully funding. Our public, pensions protecting life and fighting for Kentucky values like faith, family, and freedom. Kentucky's growing again, earning respect again in the best part. We're just getting started.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_KY_BEVIN_WE_ARE_JUST_GETTING_STARTED_60.wmv,0.8882731,0.212829736211031
GOV_KY_GOFORTH_TWO_FACES,"Matt, Bevin $6,000, we can trust, Matt Bevin took tell the truth about Robert Goforth. Republican.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_KY_GOFORTH_TWO_FACES.wmv,0.8882731,0.212829736211031
GOV_LA_ABRAHAM_CONSERVATIVES_BEWARE,"Conservatives be where Eddie rispone is desperate. It is running dishonest attack ads against Abraham. The fax paper ham, doesn't vote with Nancy Pelosi, and he voted for Trump's wall. Ralph Abraham is rated as the most Conservative candidate in the race. For governor of Louisiana Family Forum. He's one hundred percent Proline Pro Trump and pro-second Amendment. The most conservative in the race for governor is Ralph Abraham to you and that the truth.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_LA_ABRAHAM_CONSERVATIVES_BEWARE.wmv,0.8882731,0.212829736211031
GOV_LA_ABRAHAM_THE_TRUTH,"Ralph Abraham, I'm running for governor. And here's the truth. Life begins at conception, government is too big on, taxes are too high and our car insurance is too. Expensive, is doing a great job is self-explanatory. And as a doctor, I can assure you. There are only two genders of Ralph Abraham. I'm running for governor, and that's the truth.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_LA_ABRAHAM_THE_TRUTH.wmv,0.8882731,0.212829736211031
GOV_LA_RISPONE_SO_EASY,"I'm in responding. I'm one hundred percent pro-life, a lifelong outdoors, and a businessman who's created, thousands of jobs, conservative with President Trump to ban Sanctuary cities and give voters a baby have a wheel.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_LA_RISPONE_SO_EASY.wmv,0.8882731,0.212829736211031
GOV_LA_SLAF_RALLYING,"Trusted conservative behind Ralph Abraham for governor Guard Family, Doctor job Creator, pro-life Advocates, dedicated husband for 43 years. Republican leaders have called Ralph Abraham, a solid conservative. As if the President Trump, telephone immigration and trusted conservative choice for governor.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_LA_SLAF_RALLYING.wmv,0.8882731,0.212829736211031
GOV_MO_UMOPAC_VALUES,"Try to defend our Missouri values. Nicole Galloway Galloway is a liberal who support late-term abortions and Galloway support the liberal gun control. It would take away our Second Amendment, freedom of braided by the NRA. Governor. Mike Parson is endorsed by the NRA and A+ rated, and he's a proud pro-life father and grandfather my card, then we'll just spend our Missouri value.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_MO_UMOPAC_VALUES.wmv,0.8882731,0.212829736211031
GOV_MS_REEVES_LIBERAL_EXTREMISTS,"Conservative Patriot in Hollywood and religion. Play Wolfie race. Carnation Gray. Streaming. Jim Hood, won't, but I will.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_MS_REEVES_LIBERAL_EXTREMISTS.wmv,0.8882731,0.212829736211031
GOV_MS_REEVES_ONLY_ONE,"What's your view on raising gas? Taxes only one candidate for governor. Opposes higher gas. Taxes. Tate Reeves. Only one candidate. Opposes expanding Obamacare. Tate Reeves. Only one candidate has been endorsed by the NRA, right to life and Phil Bryant Tate Reeves. That's why the American conservative union. Says Tate Reeves, is the one true conservative in this race.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_MS_REEVES_ONLY_ONE.wmv,0.8882731,0.212829736211031
GOV_MT_WILLIAMS_TRAILBLAZERS,"Trail Blazers and daughters who built the state. But now, like, Greg gianforte and Donald Trump want to take away our right to even restrict birth control. I will let that happen. I'm Whitney Williams and it's your next Governor. I'll protect Women's Health Care decisions in Montana. Any law that comes between a woman and her doctor would be Williams.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_MT_WILLIAMS_TRAILBLAZERS.wmv,0.8882731,0.212829736211031
GOV_MT_WILLIAMS_TRAILBLAZERS_15,Donald Trump and Greg gianforte Dean Williams Democrat for governor.,http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_MT_WILLIAMS_TRAILBLAZERS_15.wmv,0.8882731,0.212829736211031
GOV_NH_NHDP_JUST_LIKE_TRUMP,"Chris sununu brags about being like Donald Trump. What does that really mean? Like Trump defund, Planned Parenthood, ending cancer, screening like Trump, he's back by drugging insurance companies that are making health care more expensive, Donald Trump's agenda, New Hampshire, the New Hampshire Democratic Party.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_NH_NHDP_JUST_LIKE_TRUMP.wmv,0.8882731,0.212829736211031
GOV_WA_FORTUNATO_BLUEPRINT,"Pepsi Center. Small-town, mayor of police chief with no state government experience of the Second Amendment.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_WA_FORTUNATO_BLUEPRINT.wmv,0.8882731,0.212829736211031
GOV_WV_FOLK_TAXPAYER_HERO,"Jim Justice was Hillary Clinton's running mate, first year ago. Neither support of Donald Trump.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_WV_FOLK_TAXPAYER_HERO.wmv,0.8882731,0.212829736211031
GOV_WV_FOLK_THE_SAME_COIN,"Hi, I'm Mike folk two sides of the same coin. That's what former Mansion Democrats, Justice in Thrasher are wasteful spending selling out to China tax increases as my grandfather. Used to say, it's the pot calling the kettle. Black. I thought against their wasteful spending selling out to China and a form. 50 million dollar tax increase in the legislature. I might folk and I will fight even harder as your governor. And most of all, put Families First, to make our state, a great place to live work and raise a family.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_WV_FOLK_THE_SAME_COIN.wmv,0.8882731,0.212829736211031
GOV_WV_JUSTICE_GREAT_AGAIN,"My good friend and your Governor Jim justice under Governor Justice and President Trump. West Virginians are working again from tourism to road construction, to high-tech to Cole. Justice is standing with Trump to defend. The Second Amendment, Justice is strongly endorsed by West Virginians for life and Governor Justice appointed. The most Supreme Court making West Virginia and America great again.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_WV_JUSTICE_GREAT_AGAIN.wmv,0.8882731,0.212829736211031
GOV_WV_JUSTICE_SHOOTS_STRAIGHT,"A strong conservative Governor, Jim Justice, cute straight by the NRA. He's endorsed by West Virginians for life and endorsed by President Trump. Jim just a huge budget deficit while investing in our roof. I've got my sights on creating more jobs for West, Virginia. Can I don't miss very often, but Trump, considering Governor Jim Justice for West, Virginia.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_WV_JUSTICE_SHOOTS_STRAIGHT.wmv,0.8882731,0.212829736211031
GOV_WV_JUSTICE_STRONGLY_ENDORSED_15,"Governor. Jim Justice is strongly endorsed and supported by West Virginians for Life. The NRA and our President, Donald Trump. Pro-life pro-gun Pro trucks, Jim Justice for governor.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_WV_JUSTICE_STRONGLY_ENDORSED_15.wmv,0.8882731,0.212829736211031
GOV_WV_THRASHER_BORN_AND_RAISED_60,"I was born and raised in West Virginia and I've been in love with this place for 65 years to provide a better future for our kids. He didn't keep his promises and there were no new jobs. Even before the coronavirus, 100% pro-life, conservative who supports President Trump and all work hard everyday, Republican, or someone who looks out for you. I'm Woody Thrasher, and I'd appreciate your vote so that we can make West Virginia, what she deserves to be the best place in the world to call home.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_WV_THRASHER_BORN_AND_RAISED_60.wmv,0.8882731,0.212829736211031
GOV_WV_THRASHER_LEADERSHIP,"I'm Woody Thrasher and I've always been an early riser, my father and I started Thrasher Engineering in 1983. I've seen the difference that strong values and running for governor because the people of West Virginia deserve leadership that works just as hard as they do is working harder for better schools that are rose and fighting to protect The Unborn. It's time West Virginia. It's time to go to work.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_WV_THRASHER_LEADERSHIP.wmv,0.8882731,0.212829736211031
HOUSE_AL01_CARL_BUILDING_BUSINESSES,"Building businesses message, Jerry Carl had to solve problems. Congress is full of problems. Gary will stand with Trump build the wall and end and outs for lawbreaking illegals. Jheri curl is pro-life because it's in Mortal to stop a bleeding heart as a conservative. He'll stop liberals from destroying the Second Amendment like Trump. He's tough. He does. What's needed just Jerry and Eric Carle, but call me Jerry and I approve this message.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_AL01_CARL_BUILDING_BUSINESSES.wmv,0.8882731,0.212829736211031
HOUSE_AL01_CARL_OUT_OF_CONTROL,"I'm very call political correctness is out of control is enough to build a wall to secure our borders. Let's stop socialist for pushing abortion on demand and stealing our guns. This isn't crazy stuff. I've got back home. I'm Jerry call, but you call me Jerry and I approve this message.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_AL01_CARL_OUT_OF_CONTROL.wmv,0.8882731,0.212829736211031
HOUSE_AL01_HIGHTOWER_CHRISTIAN_ADOPTIONS,"The Bible says you will know them by their fruits. Bill Hightower passed a law. Protecting Christian adoption and Bill Hightower protect The Unborn. He wrote the Bill that outlawed the sale of unborn, baby part. Our religious Liberties are safe in the hands of feel, Hightower a Christian, a conservative a defender of our constitution, our president and our values, Bill Hightower for South Alabama. Still Hightower for Congress.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_AL01_HIGHTOWER_CHRISTIAN_ADOPTIONS.wmv,0.8882731,0.212829736211031
HOUSE_AL01_HIGHTOWER_CRYSTAL_CLEAR,"Times Like These make it Crystal Clear. Donald Trump is the leader we need, and he needs conservative Bill, Hightower in Congress to help him reignite our economy, and hold accountable, for their deadly pandemic. After all, Bill hightower's always had Trump's back campaign for our back to sidon for Coastal Insurance reform, cracking down on the legals defending Leon born in stopping The Accidental, and I approve this message.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_AL01_HIGHTOWER_CRYSTAL_CLEAR.wmv,0.8882731,0.212829736211031
HOUSE_AL01_HIGHTOWER_FIGHT_FOR_OUR_VALUES,"Bill Hightower is a pro-life conservative with the courage to fight for our values and the record to prove it. As state. Senator Hightower passed a law, protecting Christian adoption and wrote. Another Banning the sale of unborn, baby Parts. He forced to vote on term limits in Raging. The career politicians in Congress will fight to help President Trump build a wall and defend our Second Amendment rights. Bill Hightower for Congress, and I approve this message.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_AL01_HIGHTOWER_FIGHT_FOR_OUR_VALUES.wmv,0.8882731,0.212829736211031
HOUSE_AL01_HIGHTOWER_LYING_AGAIN,"Jerry Carl again, Trump even donated thousands against Trump Bill hightower's been in Congress. He'll keep fighting President Trump, build a wall and stand up to China and I approve this message.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_AL01_HIGHTOWER_LYING_AGAIN.wmv,0.8882731,0.212829736211031
HOUSE_AL01_PRINGLE_HOW_TO_BUILD_WALLS,"I know how to build walls on Washington, in a trump, build his wall, protect us from America's enemies and I have the perfect place for another. I'm Chris Pringle. And I approve this message cuz I",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_AL01_PRINGLE_HOW_TO_BUILD_WALLS.wmv,0.8882731,0.212829736211031
HOUSE_AL02_KING_TROYS_MOM,"Just don't like the Liberals and I approve this message, especially since liberals and Alabama. Haven't ever like me text Mom.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_AL02_KING_TROYS_MOM.wmv,0.8882731,0.212829736211031
HOUSE_AL02_MOORE_APPROVES_PRESIDENT_DONALD,"I'm Barrymore and I approve this message very more approve. Supporting President Donald J Trump. Prove standing up to the Democrats and fighting their liberal. Agenda Barrymore. Approves our Second Amendment rights, protect The Unborn and building. The wall. Barrymore is a veteran and approve supporting our military and our veterans. Proof supporting our law enforcement officers. And First Responders, Barrymore, approve, supporting our Alabama values on November 3rd. I need your approval but being more Republican for Congress.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_AL02_MOORE_APPROVES_PRESIDENT_DONALD.wmv,0.8882731,0.212829736211031
HOUSE_AL02_MOORE_GARBAGE,"I'm very bored. I'm going to represent you in, I own a waste management company, and I know a little bit about DARPA. Abortion. Open board. Dependence on China.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_AL02_MOORE_GARBAGE.wmv,0.8882731,0.212829736211031
HOUSE_AL02_MOORE_PROVEN_CONSERVATIVE_LEADER,"Barrymore, a proven conservative leader that is supported President Trump. Since day. One Barrymore has been endorsed by the Club for Growth Eagle for American workers, Coalition conservative, Christians of Alabama. And the house Freedom fund with support from Members, like, Representatives, Andy Biggs. And Jim Jordan Barrymore is a veteran who is pro-life pro-second Amendment believes in protecting our borders and bringing back American jobs on July 14th, or I'm Barrymore Trump Republican for Congress, and I approve this message.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_AL02_MOORE_PROVEN_CONSERVATIVE_LEADER.wmv,0.8882731,0.212829736211031
HOUSE_AL02_TAYLOR_HUMBLE_ROOTS,"Thursday. I'm Jessica Taylor and I approve this message. I grew up from humble roots and we roll, Alabama. With my squat today, it's different kind of squash threatens. Our freedom. That's why I'm running for congress to take on the radical for Tech. Why? The Second Amendment our borders and President Trump from specialist in the swamp, and I won't apologize for it. I'm Conservative Republican, Jessica, Taylor, Alabama. Put me in.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_AL02_TAYLOR_HUMBLE_ROOTS.wmv,0.8882731,0.212829736211031
HOUSE_AL02_TAYLOR_TURN_UP_THE_HEAT,"I'm Jessica Taylor a pro-life conservative mom running for congress to turn up the heat on the Socialist Squad. Builds the wall and stand with President Trump because this socialist Green New Deal. Open attack on our way of life in Congress. I won't just drain the swamp out, burn it down and Nancy Pelosi. You're fired. I'm Jessica Taylor. And I approve this message.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_AL02_TAYLOR_TURN_UP_THE_HEAT.wmv,0.8882731,0.212829736211031
HOUSE_CA25_UYGUR_MEDICARE_FOR_ALL,Medicare for all is the only way to get what to do with their own bodies. So this message is for the anti-choice legislators and DC not on our watch. I'm Jay cougar. And I approve this message cuz it's time to clean house and protect the rights of the working class.,http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_CA25_UYGUR_MEDICARE_FOR_ALL.wmv,0.8882731,0.212829736211031
HOUSE_CA39_CISNEROS_APPLAUD_HIM,"I'm Gil Cisneros, and I approve this message is suing. Just trip Healthcare from millions of Americans in the middle of a pandemic. Young. Kim says, applaud him because she's in lockstep with Trump anti-choice attacking our Healthcare using about the Trump Kim agenda, deserves our Applause and young Kim doesn't deserve our vote.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_CA39_CISNEROS_APPLAUD_HIM.wmv,0.8882731,0.212829736211031
