alt,transcript,link,alpha,wmp_ratio
GOV_LA_EDWARDS_WE_KNOW_GOV_EDWARDS,"We know Governor Edwards weather expanding access to prenatal care strongly supporting equal pay for when an employee committed, sexual, harassment Governor Edwards, demanded his resignation, within hours, then revised, and States policies. We know, Governor Edwards and we know all he's done for women in Louisiana.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_LA_EDWARDS_WE_KNOW_GOV_EDWARDS.wmv,0.5800333,0.212829736211031
GOV_UT_COX_DEIDRE_HENDERSON,I've been a fierce advocate for families and small businesses at the Utah State. Senator abundant opportunity.,http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_UT_COX_DEIDRE_HENDERSON.wmv,0.5800333,0.212829736211031
GOV_UT_WINDER-NEWTON_PEOPLE_OVER_PEDIGREE_60,"I decided to run for governor. Some people were happy to tell me why I shouldn't. The political Elite elections are for the few that only the rich and connected by. Hernias. Is built on people not pedigree. So we're shooting our first TV ad on iPhone. Innovative some say I'm cheap. Bottom line. This election is about taking back, our government about giving a voice to the rest of us. Because Utah's bright future is not a given, it must be earned. I'm Amy Winsor Newton. Let's get to work.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_UT_WINDER-NEWTON_PEOPLE_OVER_PEDIGREE_60.wmv,0.5800333,0.212829736211031
HOUSE_AK01_GALVIN_BRINGING_ALASKANS_TOGETHER,"Hi, I'm Elise K. I like my work meeting. Great, Alaska, schools. My campaign for Congress is about bringing alaskans together, lots of Alaskan, who are now volunteering from home. And this is what we believe in politics. And we also need to rebuild, Alaska. Congress could be doing a lot more. I approve this message because I hope you'll join us.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_AK01_GALVIN_BRINGING_ALASKANS_TOGETHER.wmv,0.5800333,0.212829736211031
HOUSE_AK01_GALVIN_HARD_WORK,Gas station. This message and this is why.,http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_AK01_GALVIN_HARD_WORK.wmv,0.5800333,0.212829736211031
HOUSE_CT03_DELAURO_TALK_IS_CHEAP,"Rosa delauro knows, talk is cheap and real leadership means. Rolling up your sleeves and getting things done. Like, when her equal pay for women, law passed the house three times when she save jobs, at Sikorsky by keeping Marine One u.s.a. Built and when she donates $600,000 of her salary to fund scholarships for students, and when she fights for Connecticut's Working Families, re-elect, Democratic results, and I approve this message.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_CT03_DELAURO_TALK_IS_CHEAP.wmv,0.5800333,0.212829736211031
HOUSE_DC01_STRACUZZI_CIVIL_RIGHTS_LEGEND,"Holmes Norton is a legend in the Civil Rights Movement. We need a new vision. For our city has jacuzzi a true champion for Statehood and fair labor laws for the issues that matter to check social security. Okay, cast your ballot for stracuzzi for district delegate to Congress.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_DC01_STRACUZZI_CIVIL_RIGHTS_LEGEND.wmv,0.5800333,0.212829736211031
HOUSE_IA03_AXNE_WOMENS_RIGHTS,I'm Cindy axne. And I approve this message in Congress voted to limit women's access to contraceptives in cancer. Screenings. He supports banning all abortions. Even for victims of rape and incest. One decision away from me.,http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_IA03_AXNE_WOMENS_RIGHTS.wmv,0.5800333,0.212829736211031
HOUSE_LA06_WILLIAMS_DIGGING_GRAVES,Play instrumental in raising the federal minimum wage by Republican Congressman Garret Graves.,http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_LA06_WILLIAMS_DIGGING_GRAVES.wmv,0.5800333,0.212829736211031
HOUSE_MA04_KHAZEI_POLITICIANS_DO_POLITICS,"This isn't working. New Politics helps put over a million young people to work. Fighting poverty and fixing schools, and organized National marches for women's rights and gun safety. So if you were looking for big change in the person who knows how to make it. There's only one Converse.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_MA04_KHAZEI_POLITICIANS_DO_POLITICS.wmv,0.5800333,0.212829736211031
HOUSE_MA04_KHAZEI_POLITICIANS_DO_POLITICS_NO_GUN_CONTROL,"Politicians. Do people get shutout million people to work fighting poverty and fixing schools? Organizing marches for women's rights, and it's always been one hundred percent pro-choice. So if you're looking for big change in the person who knows how to make it. There's only one Alan khazei Congress and I approve this message.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_MA04_KHAZEI_POLITICIANS_DO_POLITICS_NO_GUN_CONTROL.wmv,0.5800333,0.212829736211031
HOUSE_MA04_KHAZEI_THESE_TIMES_60,"They didn't start on a gold-plated. Escalator, a Street in Minneapolis or a province 7000 miles away. No much deeper. And now we have a choice. We looked at the same politicians to do the very same thing or the time to think about this in an entirely different way, Allen Casey a lobbyist, but he helped bring over a million Americans together from all walks of life, to fight poverty, and fix schools and help organize National marches for gun safety and women's right. There, was always right at the heart of it politics. Don't change anything. People do Alan khazei because it's time to break down the doors of Congress and let the people in Message.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_MA04_KHAZEI_THESE_TIMES_60.wmv,0.5800333,0.212829736211031
HOUSE_NY01_314ACTIONFUND_WOMEN_OF_LONG_ISLAND,"Is no friend restrict abortions, even when the life of the mother is at risk against iuds supports, the emergency birth control, doesn't trust you with your own body 314.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_NY01_314ACTIONFUND_WOMEN_OF_LONG_ISLAND.wmv,0.5800333,0.212829736211031
HOUSE_NY01_ZELDIN_DAD,"TV commercials. Now we're supposed to get a woman exactly like her. That princess is almost always be covered our highly zeldin and I approve this entire message, except the car.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_NY01_ZELDIN_DAD.wmv,0.5800333,0.212829736211031
HOUSE_NY24_WOMENVOTE_PICKED_A_SIDE,"John katko in the middle, but when it comes to standing up for New York women, he picked aside voted against protecting equal. Pay day. Fund Planned Parenthood businesses with a history of sexual harassment, illegal for New York Women. It's the wrong one. Women vote is responsible for the content of his head.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_NY24_WOMENVOTE_PICKED_A_SIDE.wmv,0.5800333,0.212829736211031
PRES_BIDEN_A_LOT_TO_SAY,"This president has a lot to say about black men, like you and crazy, compared us to add all told us to go back to where we came from and that's what he fails to realize is that we are Fierce organized, Unstoppable and we are ready to vote him out. Joe Biden and I approve this message.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/PRES_BIDEN_A_LOT_TO_SAY.wmv,0.5800333,0.212829736211031
PRES_BIDEN_LIFE_OR_DEATH_ISSUE_60,"A life-or-death decision. Let's talk about that. Women are still three to four times more likely to die during childbirth and there's more police and have to put up with the most essential workers, teachers, caregivers deserve leaders who see us and respect us plan to increase the minimum wage to improve maternal care for black women battle, systemic racism. Voting is a life-or-death decision and Kamala Harris. They see us. They respect us.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/PRES_BIDEN_LIFE_OR_DEATH_ISSUE_60.wmv,0.5800333,0.212829736211031
PRES_BIDEN_THE_BLACK_BALLOT_60,"At the heart of America's Democratic process are black women. They make up only about seven and a half percent of the electorate, but they are the most reliable voting Bloc in the United States that loyalty was birth 100 years ago during the women's suffrage movement when the 19th Amendment passed giving women, the right to vote. The majority of black women had to wake decades to exercise that right. Even today, there voting power, does not always translate outside the voting booth black women make up 10% of the low-wage Work. Force Base, higher rates of police brutality and suffer from Health, disparities exacerbated by covid-19, but former president and Democratic Presidential nominee, Joe Biden is hoping to change that his agenda includes education, housing and Healthcare initiatives. All aimed at creating generational, wealth for African Americans were more comprehensive coverage of all things politics. Check out the black ballot at newsone.com. I'm Joe Biden. And I approve this message.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/PRES_BIDEN_THE_BLACK_BALLOT_60.wmv,0.5800333,0.212829736211031
