alt,transcript,link,alpha,wmp_ratio
GOV_MT_GJMT_NOAH,"This is what Greg gianforte thinks about your hard-earned. Social Security taxi wasn't hanging out. He was working, right? So I think we have an obligation to work till retirement security for us Millions for him.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_MT_GJMT_NOAH.wmv,0.9859559,0.212829736211031
GOV_WV_JUSTICE_LISTEN_60,"Listen to what West Virginians are saying about Governor Jim Justice. Got a 10% raise. Take you from me. No, one cares about West Virginia's kids more than Jim Justice on military, retirement benefits to help people break the grip of opioid addiction security. That makes a big difference for seniors. Everybody remembers Janet Jackson's during the duration of the storm really had the 2016 flood. He opened up the Greenbrier. He's always ready to reach out and help people. Jim justice has a Heart of Gold Gym, Justice jobs opportunity and hope for all West, Virginia.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_WV_JUSTICE_LISTEN_60.wmv,0.9859559,0.212829736211031
HOUSE_AL01_CARL_LOST_THEIR_MIND,"Jerry Carl will take on Nancy Pelosi and her band of radicals. He isn't going to let them defend our police. That's crazy. Jerry Carl will stop the swamp from bankrupting Social Security with Reckless, spending along with President Trump, and Coach. Tuberville, Jerry. Carl won't let the extremist destroy our values Jerry Carl for congress. I'm Jerry Carl. So call me Jerry and I approve this.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_AL01_CARL_LOST_THEIR_MIND.wmv,0.9859559,0.212829736211031
HOUSE_AR02_DCCC_DO_THE_MATH,"When it comes to friends, hell we've got to do the math. This campaigns have taken more than 2.9 billion in corporate, special interest money and one of the benefits to the richest Americans and his donors on middle-class, Arkansas, Social Security, and Medicare with french hill and Dad's up for them. Not for us. DCCC is responsible for the content of this advertising.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_AR02_DCCC_DO_THE_MATH.wmv,0.9859559,0.212829736211031
HOUSE_AR02_ELLIOTT_A_LITTLE_SECRET,"I'm Joyce Elliott to let you in on a little secret for Social Security and Medicare. Are you sure can imagine, for the retired teacher had count on them? Pretty girl, has a secret to keep voting for cuts to Social Security, and Medicare just found a huge tax break for the wealthiest by himself. I approve this message because french hill, may not need Social Security, or Medicare for people who do",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_AR02_ELLIOTT_A_LITTLE_SECRET.wmv,0.9859559,0.212829736211031
HOUSE_AR02_ELLIOTT_THESE_ARE_MY_MOTHERS_HANDS_60,"These are my Mother's Hands. My grandmother's hands. For kids from Arkansas, grow up watching their Elders work. It's how they taught us. You reap what you sow. If it breaks you fix it yourself. I became a teacher inspired by integration. I became a lawmaker the fight for fordable health care and lower taxes for working people on Joyce, Elliott and there is so much to fix a congressman french hill axis Bank executives. And I plan to pay for it by cutting our social security and Medicare. I approve this message, and I'm running for congress because the strongest future is in our hands.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_AR02_ELLIOTT_THESE_ARE_MY_MOTHERS_HANDS_60.wmv,0.9859559,0.212829736211031
HOUSE_AR02_HILL_WASHINGTON_ALLIES,"And I approve this message. Please fight to protect those with pre-existing conditions, Joyce Elliott. Once a full government takeover of Health Care taking away the health insurance, you get at your job and costing Trillium in the process node, radical liberal.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_AR02_HILL_WASHINGTON_ALLIES.wmv,0.9859559,0.212829736211031
HOUSE_AR02_HILL_WHEN_MY_DAD_WENT_TO_CONGRESS,I'm by the Hill Congress. I was so proud to text Liza. I'm friendship and I approve this message.,http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_AR02_HILL_WHEN_MY_DAD_WENT_TO_CONGRESS.wmv,0.9859559,0.212829736211031
HOUSE_AR02_HOUSEMAJPAC_UPHILL_FIGHT,"It's been an uphill fight for these guys. Because in Washington Congressman Hill looks out for these guys Wall Street, Banks, insurance companies, even drug companies. Corporate special interests have given Hill, nearly three million dollars, and he votes their way. Giving billions in tax breaks to the big corporations while raising taxes on us and threatening Social Security, Congressman Hills for the special interest. Not us House. Majority. Pac is responsible for the content of the sea.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_AR02_HOUSEMAJPAC_UPHILL_FIGHT.wmv,0.9859559,0.212829736211031
HOUSE_AR03_WILLIAMS_NURSE_AND_PROUD_ARKANSAN,"I approve this message or cans in because you get sick. Take our Public Health crisis, seriously, and make Healthcare affordable and I'll never vote to cut Social Security or Medicare. If you earn it, you keep it. It's time. Congress.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_AR03_WILLIAMS_NURSE_AND_PROUD_ARKANSAN.wmv,0.9859559,0.212829736211031
