alt,transcript,link,alpha,wmp_ratio
HOUSE_CA39_CISNEROS_APPLAUD_HIM,"I'm Gil Cisneros, and I approve this message is suing. Just trip Healthcare from millions of Americans in the middle of a pandemic. Young. Kim says, applaud him because she's in lockstep with Trump anti-choice attacking our Healthcare using about the Trump Kim agenda, deserves our Applause and young Kim doesn't deserve our vote.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_CA39_CISNEROS_APPLAUD_HIM.wmv,0.7466239,0.212829736211031
HOUSE_FL14_QUINN_EVEN_FURTHER_LEFT,"Kathy Castor, razor, Texas. Christine Quinn's on our side fighting for us. Christine Quinn for congress, Christine Quinn. less government more jobs and more freedom, Christy for Congress.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_FL14_QUINN_EVEN_FURTHER_LEFT.wmv,0.7466239,0.212829736211031
HOUSE_FL18_MAST_HARMONY,"It was a couple days before graduation when my instructor from class rate being brutally. After my rapist was released on a technicality, Congressman jumped on board and we have been fighting this ever since something. So you have to give everything, you have to fight it. He called me and told me that he was going to be presenting a bill and they named. It after me, the cases going to the Supreme Court. I've gotten and his team over the past two years.I'm so committed to this. Thank you so much this message.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_FL18_MAST_HARMONY.wmv,0.7466239,0.212829736211031
HOUSE_IL13_LONDRIGAN_A_NATION_MOURNS,A nation Mourns and your health care is at risk with family to have Quality Health Care. They can afford and I approve this message.,http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_IL13_LONDRIGAN_A_NATION_MOURNS.wmv,0.7466239,0.212829736211031
HOUSE_NC11_PFP_ON_THE_LINE,"Whistle white house and supreme court on the line. Never Trumper Linda Bennett sided with Hillary Clinton and the Liberals, listen for yourself. Conservative Madison, cawthorn will advance President Trump's agenda defend the Second Amendment. Build the wall, protect life from conservative Madison, cawthorn for congress, protect Freedom factors responsible for the content of this advertising.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_NC11_PFP_ON_THE_LINE.wmv,0.7466239,0.212829736211031
HOUSE_PA01_FINELLO_DCCC_ONLY_ONE,"Only 11 congressman from our area voting for Donald Trump's agenda. Brian Fitzpatrick, Trump's tax cuts for the bailouts for big corporations and protections for pre-existing conditions. That's what's gotten us into this mess. And now as Trump ignores the virus and appointed Justice who will Outlaw Fitzpatrick continues to stand by Donald Trump and I approve this message.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_PA01_FINELLO&DCCC_ONLY_ONE.wmv,0.7466239,0.212829736211031
HOUSE_SC01_CFGACTION_AMY_CONEY_BARRETT,"Who's supposed to Amy Coney Barrett on the Supreme Court, once again, putting his liberal agenda? First liberal joke, she already.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_SC01_CFGACTION_AMY_CONEY_BARRETT.wmv,0.7466239,0.212829736211031
HOUSE_SC01_CLF_AMY_COMEY_BARRETT,"Who's supposed to Amy Coney Barrett on the Supreme Court, and Joe Cunningham Cunningham to join the radical left Supreme Court. Once again, putting his liberal Joe Cunningham. She already owns it. Congressional leadership fund is responsible for the content of this advertising.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_SC01_CLF_AMY_COMEY_BARRETT.wmv,0.7466239,0.212829736211031
PRES_AMERICAFIRST_QUALIFIED,"Amy, Coney, Barrett within you. And that's of concern. That's unacceptable.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/PRES_AMERICAFIRST_QUALIFIED.wmv,0.7466239,0.212829736211031
PRES_BIDEN_INCREDIBLE_VOTE_SP,"Mustard doscientos mean for Disabled Student, a step and a Mia America. Play Willie Nelson. Weight loss pills.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/PRES_BIDEN_INCREDIBLE_VOTE_SP.wmv,0.7466239,0.212829736211031
PRES_DJ_RIGHT_WING_MAKEOVER,"Donald Trump is giving our courts a right-wing Mako and Senator Michael Bennet is helping him. Do it. Even praised Neil Gorsuch Supreme Court, is to fix the court. Helping Trump is not a good look paid for but a man Justice.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/PRES_DJ_RIGHT_WING_MAKEOVER.wmv,0.7466239,0.212829736211031
PRES_FUTURE45_THE_BIDEN_RULE,"As you did Sherry chairman Joe Biden presided over six Supreme Court nominations, including clearly by application. And I believe, it's a matter of fact, required to send it to do, its duty to send it to follow the Biden rule up, or down, teacher 45.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/PRES_FUTURE45_THE_BIDEN_RULE.wmv,0.7466239,0.212829736211031
PRES_INDEPENDENCEUSA_ELIMINATE,Donald Trump's been trying to eliminate the Affordable Care Act. Now with a vacancy on the Supreme Court and Healthcare even during a pandemic.,http://mycmag.kantarmediana.com/KMIcmagvidbin2/PRES_INDEPENDENCEUSA_ELIMINATE.wmv,0.7466239,0.212829736211031
PRES_JUDICIALCRISIS_PACK_THE_COURT,"Smeared judge Kavanaugh, they've built a secret list of judges that they won't show anyone keeping Americans in the dark running for president. With a list of secret Court picks. What are they hiding? Tell Joe Biden. Trump released his list. Why won't you?",http://mycmag.kantarmediana.com/KMIcmagvidbin2/PRES_JUDICIALCRISIS_PACK_THE_COURT.wmv,0.7466239,0.212829736211031
PRES_KLOBUCHAR_HOLD_ONTO_POWER_SUPER_TUESDAY_60,"He'll do everything he can to hold on to power. But I'll take the fight to Donald Trump. I wanted Urban and Suburban areas every time even districts, Donald Trump win, whether it's passing 100 laws or standing up too. Partisan Supreme Court nominees. I've always known that you do a job. No matter how hard it is because it's the work that needs to get done. Our job now is to elect someone who will fix the mess that Donald Trump created and take on the challenges facing America, like the high cost of prescription drugs, rebuild our infrastructure and tackling climate change. If you feel stuck in the middle of the Extremes in our politics and you're tired of the noise and the nonsense, you've got a home with me. I'm Amy Klobuchar. I don't want to be the president for half of America. I want to be the president for all of America. That's why I approve this message.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/PRES_KLOBUCHAR_HOLD_ONTO_POWER_SUPER_TUESDAY_60.wmv,0.7466239,0.212829736211031
PRES_KLOBUCHAR_WHAT_IT_TAKES_60,"He'll do everything he can to hold on to power. But I'll take the fight to Donald Trump. I wanted Urban and Suburban areas every time even districts. Donald Trump weather in passing 100 laws or standing up too. Partisan Supreme Court nominees. I've always known that you do a job. No matter how hard it is because it's the work that needs to get done. Our job now is to elect someone who will fix the mess that Donald Trump created and take America. Like the high cost of prescription drugs, rebuild our infrastructure and tackling climate change. If you feel stuck in the middle of the Extremes in our politics and you're tired of the noise and the nonsense, you've got a home with me. I'm Amy Klobuchar. I don't want to be the president for half of America. I want to be the president for all of America. That's why I approve this message.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/PRES_KLOBUCHAR_WHAT_IT_TAKES_60.wmv,0.7466239,0.212829736211031
PRES_SANDERS_WOMEN'S_RIGHTS,"In Donald, Trump's Washington women's rights are under attack. But Bernie Sanders is on our side and always has been fighting to protect a woman's right to choose to fully fund Planned Parenthood in guarantee paid family, leave and equal pay. I'm Bernie Sanders and I approve this message.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/PRES_SANDERS_WOMEN'S_RIGHTS.wmv,0.7466239,0.212829736211031
USSEN_AL_TUBERVILLE_ONE_OF_THE_WORST,"Socialists and liberals, who hate are Alabama conservative values. Doug Jones is one of the worst Jones voted to impeach President. Trump twice. He voted against Justice and now is going to vote against Amy. Coney Barrett enough's enough. I'm going to stand with President Trump to protect life, protect your guns and protect the values that make America great. I'm Tommy tuberville and I approve this message because I'm ready to fight for, Alabama.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/USSEN_AL_TUBERVILLE_ONE_OF_THE_WORST.wmv,0.7466239,0.212829736211031
USSEN_AR_COTTON_WASHINGTON_LIBERALS,"The Washington Liberals are bringing their anti-gun agenda to Arkansas. Tom Cotton on our side, Tom Cotton is defending the Second Amendment and confirming conservative judges, who respect our rights. I'm Tom, and I approve this message.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/USSEN_AR_COTTON_WASHINGTON_LIBERALS.wmv,0.7466239,0.212829736211031
USSEN_AZ_DJ_IT'S_A_LIFETIME_APPOINTMENT,"It's a lifetime appointment and a majority of Americans, say, the vote for the next Supreme Court. Justice should wait till after the election. But instead of letting our voices, be heard something McConnell, are rushing it through and taking a shortcut to the highest court in the land. There's a pandemic devastating every corner of the country, but they're just rushing to play politics with the core. It's a lifetime of appointment. Tell Senator McSally that do it, right?",http://mycmag.kantarmediana.com/KMIcmagvidbin2/USSEN_AZ_DJ_IT'S_A_LIFETIME_APPOINTMENT.wmv,0.7466239,0.212829736211031
USSEN_CO_DJ_IT'S_A_LIFETIME_APPOINTMENT,"It's a lifetime appointment and a majority of Americans Supreme Court. Justice should wait till after the election. But instead of letting our voices, are rushing it through and taking a shortcut to the highest court in the land. There's a pandemic devastating every corner of the country, but they're just rushing to play politics with the core. It's a lifetime of Point Hill. Senator Gardner to do it. Right? Demand. Justice is responsible.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/USSEN_CO_DJ_IT'S_A_LIFETIME_APPOINTMENT.wmv,0.7466239,0.212829736211031
USSEN_CO_HICKENLOOPER_LUNACY,"In the middle of a Health crisis, why is the Trump Administration in court? Medical conditions to get covid-19. I approve this message cuz he's got to stop fighting about Healthcare and get to work.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/USSEN_CO_HICKENLOOPER_LUNACY.wmv,0.7466239,0.212829736211031
USSEN_CO_RMV_TEAMING_UP,"Cory Gardner, Mitch McConnell, teaming up again to take away your health care during the pandemic. They're rushing to put Trump's pick on the Supreme Court before an election. If they do, the court will approve Trump's lawsuit. That means costs go up and protections for people with pre-existing conditions are Stripped Away. Don't rush to confirm Amy, Coney Barrett Rocky Mountains.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/USSEN_CO_RMV_TEAMING_UP.wmv,0.7466239,0.212829736211031
USSEN_CO_RMV_TEAMING_UP_60,"Cory Gardner and Mitch McConnell are teaming up again to take away your health care and this time during a pandemic right now was rushing to put Trump's pic into a Lifetime on the Supreme Court weeks before an election. If they do, it will approve, existing conditions and cut covered for 20 million people. During a pandemic, is too important to stand up to Mitch McConnell and Donald Trump vote to confirm. Amy, Coney, Barrett before inauguration Rocky Mountain values, his response.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/USSEN_CO_RMV_TEAMING_UP_60.wmv,0.7466239,0.212829736211031
USSEN_GA_LOEFFLER_STAKES,"US Senate race couldn't be higher. When was the first senator in America to urge, President Trump to go forward on the court stating America. I'm Kelly Loeffler. I approve this message.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/USSEN_GA_LOEFFLER_STAKES.wmv,0.7466239,0.212829736211031
USSEN_GA_LOEFFLER_TRUMP_ENDORSEMENT,"The fight for a pro-life conservative Supreme Court, a young woman who I didn't know it all. But she's been so supportive of 100%. Trump voting record. She's been so supportive of me and the agenda. A good person, a good woman. Great job, Kelly. I'm Kelly Loeffler. I approve this message.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/USSEN_GA_LOEFFLER_TRUMP_ENDORSEMENT.wmv,0.7466239,0.212829736211031
USSEN_GA_SLF_DIRTY_MONEY,"Dirty Money, the rules hiding cash from Chinese Communist and terrorist sympathizers off of Lies. Now, they're spending Millions more for him because he could help them jam through their radical agenda. Raising taxes breaking the rules for libel to pack the Supreme Court Dirty Money a dirtier agenda that Jon ossoff.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/USSEN_GA_SLF_DIRTY_MONEY.wmv,0.7466239,0.212829736211031
USSEN_IA_IAVALUES_LOUDSPEAKER,What is responsible for the content of this advertising?,http://mycmag.kantarmediana.com/KMIcmagvidbin2/USSEN_IA_IAVALUES_LOUDSPEAKER.wmv,0.7466239,0.212829736211031
USSEN_KS_HAMILTON_PRO_LIFE_OUTSIDER,"Christian businessman, Bob Hamilton and his wife Teresa have a big family. How big, how about 12 children and 11. Grandchildren? Bob, Hamilton's whole life is pro-life. That's why Bob Hamilton will fight to confirm, Trump's conservative judges, and stop left-wing radicals from spending one penny of taxpayer money on abortion. Christian. Businessman, Bob Hamilton, the proud pro-life Outsider for Kansas.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/USSEN_KS_HAMILTON_PRO_LIFE_OUTSIDER.wmv,0.7466239,0.212829736211031
USSEN_KS_KOBACH_TIRELESS_CHAMPION,"a man, that's be strong is a tireless Champion for border security, Kris kobach. The Carnation in crisis, cannabis me, the conservative Champion. We can trust in the US Senate. We need Frisco Bach, unapologetically in life, has never wavered. One attacked every single day. He doesn't stop Kris kobach and I approve this message.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/USSEN_KS_KOBACH_TIRELESS_CHAMPION.wmv,0.7466239,0.212829736211031
USSEN_KS_MARSHALL_DELIVERS_60,"Pro 5000, Captain's life began here in the crust of the hands of dr. Rodger Marshall for dr. Marshall pro-life, not a slogan. It's his life's work in Congress. Dr. Marshalls delivered for Kan Rock farms and small town. Our families and freedoms stood strong with the president to make America great again. Great friend. Now, Trump needs a trusted Ally in the Senate doctor Marshall deliver and firm. Conservative judges, uphold the Bedrock Christian values. We cherish in our car, and with coronavirus, putting lives and livelihood at risk. Kansas could use a pro-life doctor in the Senate. Got to Rodger Marshall and I approve this message because our country is in critical condition. After Rodger, Marshall for Senate, trusted by Trump delivering for Kansas. He always ass.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/USSEN_KS_MARSHALL_DELIVERS_60.wmv,0.7466239,0.212829736211031
USSEN_KS_MARSHALL_PARTY_BOSSES,Dr. Rodger Marshall.,http://mycmag.kantarmediana.com/KMIcmagvidbin2/USSEN_KS_MARSHALL_PARTY_BOSSES.wmv,0.7466239,0.212829736211031
USSEN_KS_MARSHALL_SCHUMER_PLAN_2,"I'm Doctor Rodger Marshall and I approve. This message is just another liberal rubber-stamp, reprehensible rubber stamp.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/USSEN_KS_MARSHALL_SCHUMER_PLAN_2.wmv,0.7466239,0.212829736211031
USSEN_KS_NRSC_RUTH_BADER_GINSBURG,"Ruth Bader, Ginsburg, new. I think that was a bad idea when President Franklin Delano. Roosevelt try to pack the court for the far left Democrats, like Nancy Pelosi in control. The same Democrats who passed the Supreme Court adding up to six. New liberal justices are far less. Agenda Barbara Bowl, ye spend with them, not Kansas in rsc's responsible for the content of this advertising.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/USSEN_KS_NRSC_RUTH_BADER_GINSBURG.wmv,0.7466239,0.212829736211031
USSEN_KY_BROIHIER_THE_REAL_DEMOCRAT,"2018, Amy McGrath lost house race been on the Supreme Court. Now, she's running as a pro Trump politician in the people of Kentucky cannot afford six, more years of Mitch McConnell. I'm retired Marine lieutenant colonel at Taunton Public Schools, and I'm a farmer has candidate Kentucky's Canada on the real Democrat and I approve this message because I'm the only candidate who can defeat Mitch McConnell.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/USSEN_KY_BROIHIER_THE_REAL_DEMOCRAT.wmv,0.7466239,0.212829736211031
USSEN_KY_MCCONNELL_EXTREMELY_FAMILIAR_5,"Unpacking the Supreme Court with liberal judges, extreme sounds familiar. Everything is on the table at the Supreme Court. Hi, Mitch, McConnell.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/USSEN_KY_MCCONNELL_EXTREMELY_FAMILIAR_5.wmv,0.7466239,0.212829736211031
USSEN_KY_MCGRATH_HOW_DID_IT_COME_TO_THIS_60,"I'm Amy McGrath and I approve this message. Everything that's wrong in Washington. Had to start someplace. How did it come to this? Even within our own families, we can't talk to each other about the leaders of our country anymore without anger and blame. Will it started with this man who was elected a lifetime ago and who has turned Washington into something. We all despise their budgets, and the Supreme Court are held hostage, a place where I sent it, cuz it shouldn't be like this, a marine and a fighter pilot, but the mission can never be forgotten. there is a path resetting, our country's moral compass, and we can become once again the moral and economic leader of world in disarray, but to do that, we have to",http://mycmag.kantarmediana.com/KMIcmagvidbin2/USSEN_KY_MCGRATH_HOW_DID_IT_COME_TO_THIS_60.wmv,0.7466239,0.212829736211031
