alt,transcript,link,alpha,wmp_ratio
GOV_IN_HOLCOMB_READY,"Directions to public and legislators made. Sure Indiana was ready to handle a job creation at Dallas budgets, attitude billion dollar Surplus to help get us through that strength. Means Indiana's ready to reach even greater height. We're attracting more jobs in Hoosiers. Will keep spitting up and improving their lives with Eric Holcomb is Governor. We Are One Indiana for all",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_IN_HOLCOMB_READY.wmv,0.8995223,0.212829736211031
GOV_KY_AARP_MOST_POWERFUL,"Kentuckians age 50 and over are Kentucky's most powerful voting Bloc and was critical issues on the line. In this year's election, like prescription drug costs support for family, caregivers and retirement security. We need to make our voices heard. How will they lower prescription drug cost? What are there plans to support family caregivers taxes on retirees, go to aarp.org.,",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_KY_AARP_MOST_POWERFUL.wmv,0.8995223,0.212829736211031
GOV_KY_BEVIN_BACKWARD_BESHEAR,"Forward or backward as he won't stop Sanctuary cities in economy. He supports 57,000, new jobs. Probably pro-life. Matt wants to ban Sanctuary cities for illegal immigrants. Choose forward choose, Matt, Bevin.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_KY_BEVIN_BACKWARD_BESHEAR.wmv,0.8995223,0.212829736211031
GOV_KY_BLUEGRASSVALUES_AIR,"Welcome to are Bevin a private plane for Matt Bevin owned by Kentucky. Taxpayers with lice to fundraisers his vacation home in Maine serving. Destinations kept secret from taxpayers. It's none of their business and fasten your seatbelts and his friends are taking you for a ride to six-figure salaries, tax breaks for contributors companies. Even if Bevin tried taking away your health care just sitting Bevan and his cronies fly high, you pay the price.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_KY_BLUEGRASSVALUES_AIR.wmv,0.8995223,0.212829736211031
GOV_KY_BLUEGRASSVALUES_CAREERS,"I want to be friends with the governor. I want to get hired for my connection at the same time. Matt Bevin took money out of public schools and try to take away benefits from firefighters and police officers. He gave six-figure salaries to his friends and campaign contributors at taxpayer expense. Heat Parts, Kentucky future. It's time for him to go.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_KY_BLUEGRASSVALUES_CAREERS.wmv,0.8995223,0.212829736211031
GOV_KY_GOFORTH_THE_PLAN,"I'm Republican state representative Robert Goforth, and I'm running for governor because I think Kentucky deserves better. I've laid out a very detailed plan to Salt tax reform, education in help. You don't have to raise every Kentucky, Republican governor.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_KY_GOFORTH_THE_PLAN.wmv,0.8995223,0.212829736211031
GOV_KY_GOFORTH_TWO_FACES,"Matt, Bevin $6,000, we can trust, Matt Bevin took tell the truth about Robert Goforth. Republican.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_KY_GOFORTH_TWO_FACES.wmv,0.8995223,0.212829736211031
GOV_KY_LAWRENCE_PROVEN_LEADER,"Hello, Mike, Lawrence, and I'm running for Republican. Governor of Kentucky. I was one of Lexington's larger, landlords, providing safe and affordable housing. The UK students, as a proven leader. Also, save Lexington taxpayer over 200 million and new office lease payments, and I save the taxpayer five million dollars a year in new insurance taxes. Learn more about my policies and I like, Ike for governor. Calm. My name is Ike Lawrence and I approve this message.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_KY_LAWRENCE_PROVEN_LEADER.wmv,0.8995223,0.212829736211031
GOV_KY_PPD_WAR_ON_PUBLIC_EDUCATION,"Public education for the banking industry, more for the rich and less for schools. Tell Matt Bevin backwards.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_KY_PPD_WAR_ON_PUBLIC_EDUCATION.wmv,0.8995223,0.212829736211031
GOV_KY_PUTTINGKYFIRST_AT_OUR_EXPENSE,"As a lawyer, Andy beshear cashed in at our expense. Grabbing big tax break for his clients. While his dad was governor, but it gets worse as attorney. General for sheriff's office. Has been covered in Scandal took bribes for safe. Isn't then use the dirty money to give the share the thousands in illegal campaign, cash bribery and betrayal Kickbacks and Corruption politician. Andy beshear, can be trusted.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_KY_PUTTINGKYFIRST_AT_OUR_EXPENSE.wmv,0.8995223,0.212829736211031
