alt,transcript,link,alpha,wmp_ratio
GOV_MT_GIANFORTE_TAX_CUTS,"You can spend your hard-earned money much better than any politician cat. That's why I voted for President. Trump's tax cuts saving Montana, families, $2,000 a year and creating jobs as your Governor. I'll always oppose the sales tax and I'll hold the light on state spending so we can cut property and income taxes as well. The politicians in Helena need to learn how to do more with less of your money. I'm Greg gianforte and I'm going to teach him.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_MT_GIANFORTE_TAX_CUTS.wmv,0.5663918,0.212829736211031
GOV_MT_RGARIGHTDIRECTION_JOB_CREATOR,The only job creator for Governor Mike Cooney. He's just another tax-and-spend liberal over 100 votes to raise taxes and fees. Even tried to create a massive state sales tax tax to spend do it. Again. That's my Kuni.,http://mycmag.kantarmediana.com/KMIcmagvidbin2/GOV_MT_RGARIGHTDIRECTION_JOB_CREATOR.wmv,0.5663918,0.212829736211031
HOUSE_CA20_UNITEHERE_OUR_CONGRESSMAN,"Our Congressman Jimmy Panetta. He's proposing to improve the Trump tax bill, for the two, billionaire brothers, who owned two. Congressman Panera's, legislation will subsidize be in Trump's tax breaks. Really? Yes. Really? Why ask Congressman Jimmy, Panetta?",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_CA20_UNITEHERE_OUR_CONGRESSMAN.wmv,0.5663918,0.212829736211031
HOUSE_CA20_UNITEHERE_OUR_CONGRESSMAN_SMALL_BUSINESSES,"Our Congressman, Jimmy. He's proposing to improve the Trump tax bill, for the two, billionaire brothers, who owned to Congressman Panera's, legislation will really Why ask Congressman Jimmy sagada?",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_CA20_UNITEHERE_OUR_CONGRESSMAN_SMALL_BUSINESSES.wmv,0.5663918,0.212829736211031
HOUSE_IA03_NRCC_ANGRY_CINDY,"Angry Cindy, axne economy and access the doctors angry Cindy. Actually, he's going to ask next.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/HOUSE_IA03_NRCC_ANGRY_CINDY.wmv,0.5663918,0.212829736211031
PRES_BIDEN_AFFORDABLE,"Joe Biden will make Healthcare more affordable. His plan gives a tax credit to help Working Families, pay insurance premiums, lowers prescription costs by 60% and protects coverage for pre-existing conditions. No matter what he'll pay for it by getting rid of Donald Trump's tax cuts for the super-rich, because Joe Knows our economy's strength. Doesn't come from the top. It comes from working family. And that's who he's fighting for every day. I'm Joe Biden and I approve this message.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/PRES_BIDEN_AFFORDABLE.wmv,0.5663918,0.212829736211031
PRES_HARRIS_ME_MAYA_AND_MOM_60,"She make it all work. Most Americans is all about a real plans to help you solve. Those were the biggest middle-class tax cut another. Get every month with Medicare for all the same as men, 20 years starting my first day as president because you've waited long enough to get a good night's sleep. I'm Kamala Harris. And I approve this message.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/PRES_HARRIS_ME_MAYA_AND_MOM_60.wmv,0.5663918,0.212829736211031
PRES_MATERN_BROKEN_PROMISES,"He would eliminate the deficit in 8 years. He promised that every American would be covered by health insurance. He promised that he would spend 1 trillion to improve our nation's infrastructure, and it wasn't designed to benefit the wealthy. America deserves better, get four more years of broken promises on that matter. I approve this message and I'm asking for your vote for president.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/PRES_MATERN_BROKEN_PROMISES.wmv,0.5663918,0.212829736211031
PRES_SANDERS_WHAT_HAPPENS_NV,"Huge tax breaks to the rich, while the middle class continues to struggle. That's what happens. When billionaires are able to control the blood. Quadpay. Because we need an economy that works for all of us.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/PRES_SANDERS_WHAT_HAPPENS_NV.wmv,0.5663918,0.212829736211031
PRES_SANDERS_WHAT_HAPPENS_SUPER_TUESDAY,"Huge tax breaks for the rich, while the middle class continues to struggle. That's what happens when billionaires are able to control the political system. Our campaign is funded by the working people of this country knows. We are going to guarantee Healthcare 20, people in Creative to 20 million good-paying jobs. Approve, this message because when you don't call me that works for all of us. Just multi campaign contributors.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/PRES_SANDERS_WHAT_HAPPENS_SUPER_TUESDAY.wmv,0.5663918,0.212829736211031
PRES_STEYER_GAP,"The gap between rich and poor is growing. And Donald Trump's tax giveaway to the rich are only making it worse. The Tom steyer has a plan to cut taxes by 10% for low and middle class. Tom's, economic fairness plan will provide a 10% cut for 95% of Americans. By closing the capital gains loophole taxing. The wealthy at the same rate as everyone comes dire, economic growth and fairness on Tom steyer, and I approve this message.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/PRES_STEYER_GAP.wmv,0.5663918,0.212829736211031
PRES_STEYER_LISTEN_60,"Every Democrat running for president, we all have Progressive plans to address the challenges facing. Our country is outside of Washington to end the corporate takeover of our democracy and torturing power to the American people. I'm proposing. Big reforms, like term limits, a national referendum and ending corporate money in politics as present. I'll declare climate change, an emergency on day one, and use those powers to finally address the climate crisis. And I spent 30 years building a successful international business, so I can take on Donald Trump on the economy and beat him unconscious tire. And I approve this message because there is nothing more powerful than the unified voice of the American people.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/PRES_STEYER_LISTEN_60.wmv,0.5663918,0.212829736211031
PRES_TAXMARCH_CNN_DIDN'T_ASK,"At their last presidential debate. CNN didn't ask anything about Trump's tax law. Didn't ask about the top 1% of American middle-class taxes, go up and seeing and ignore the GOP endangering Medicare and Social Security to pay for their tax giveaway at the upcoming debate in Ohio. CNN. Let's talk about it.",http://mycmag.kantarmediana.com/KMIcmagvidbin2/PRES_TAXMARCH_CNN_DIDN'T_ASK.wmv,0.5663918,0.212829736211031
