,issue,Recall,Precision,F1
0,ISSUE215,0.8111111111111111,0.8111111111111111,0.8111111111111111
1,ISSUE10,0.8979591836734694,0.9361702127659575,0.9166666666666666
2,ISSUE30,0.9521276595744681,0.9132653061224489,0.9322916666666666
3,ISSUE40,0.7155172413793104,0.7614678899082569,0.7377777777777778
4,ISSUE212,0.7966101694915254,0.8703703703703703,0.831858407079646
5,ISSUE12,0.5754716981132075,0.7349397590361446,0.6455026455026455
6,ISSUE16,0.6592592592592592,0.664179104477612,0.6617100371747212
7,ISSUE209,0.5272727272727272,0.7631578947368421,0.6236559139784946
8,ISSUE18,0.8161764705882353,0.8043478260869565,0.8102189781021898
9,ISSUE83,0.7565217391304347,0.7131147540983607,0.7341772151898734
10,ISSUE200,0.6491228070175439,0.6607142857142857,0.6548672566371682
11,ISSUE54,0.8461538461538461,0.7857142857142857,0.8148148148148148
12,ISSUE95,0.9032258064516129,0.8842105263157894,0.8936170212765957
13,ISSUE62,0.7721518987341772,0.8356164383561644,0.8026315789473685
14,ISSUE55,1.0,0.8387096774193549,0.9122807017543859
15,ISSUE91,0.45098039215686275,0.71875,0.5542168674698795
16,ISSUE56,0.9655172413793104,0.9655172413793104,0.9655172413793104
17,ISSUE53,0.5540540540540541,0.7192982456140351,0.6259541984732825
18,ISSUE90,0.5,0.5384615384615384,0.5185185185185185
19,ISSUE65,0.9,0.9,0.9
20,ISSUE45,0.5,0.5483870967741935,0.5230769230769231
21,ISSUE60,0.4358974358974359,0.5,0.4657534246575342
22,ISSUE58,0.45714285714285713,0.5714285714285714,0.5079365079365079
23,ISSUE22,0.7333333333333333,0.717391304347826,0.7252747252747253
24,ISSUE32,0.3333333333333333,0.5660377358490566,0.4195804195804196
